,property,price_range,location,property_link,agency,unit,unit_price,unit_info
20,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63045/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 688,759","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '2'}"
21,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63067/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 688,759","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '2'}"
22,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63139/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 692,732","{'chambre/pièce': '1', 'superficie': '57\n m²', 'salle de bain': '1', 'étage': '3'}"
23,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63161/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 697,622","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '3'}"
24,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63179/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 697,622","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '3'}"
25,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62949/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 718,726","{'chambre/pièce': '1', 'superficie': '61\n m²', 'salle de bain': '1', 'étage': '1'}"
26,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63085/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 728,878","{'chambre/pièce': '1', 'superficie': '61\n m²', 'salle de bain': '1', 'étage': '2'}"
27,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63209/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 741,174","{'chambre/pièce': '1', 'superficie': '61\n m²', 'salle de bain': '1', 'étage': '3'}"
28,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62837/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 801,455","{'chambre/pièce': '1', 'superficie': '60\n m²', 'salle de bain': '1', 'étage': '1'}"
29,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62971/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 813,247","{'chambre/pièce': '1', 'superficie': '60\n m²', 'salle de bain': '1', 'étage': '2'}"
30,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62621/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 815,585","{'chambre/pièce': '1', 'superficie': '57\n m²', 'étage': '4'}"
31,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62707/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 856,760","{'chambres/pièces': '2', 'superficie': '73\n m²', 'salle de bain': '1', 'étage': '1'}"
32,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62801/,Venice Consulting SA,"Appartement 2 chambres route d'Arlon, Belair, Luxembourg","€ 882,284","{'chambres/pièces': '2', 'superficie': '73\n m²', 'salle de bain': '1', 'étage': '3'}"
