,property,price_range,location,property_link,agency,unit,unit_price,unit_info
19,"Maison jumelée / mitoyenne 17d rue de Steinfort, Hobscheid, Habscht","€ 2,950/mois",Habscht,https://www.immotop.lu/annonces/382771/,Bee immo,"Maison jumelée / mitoyenne 17d rue de Steinfort, Hobscheid, Habscht","€ 2,950/mois","{'chambres/pièces': '4', 'superficie': '280\n m²', 'salles de bain': '2'}"
20,"Duplex à louer, Ville Haute","€ 2,900/mois",Luxembourg,https://www.immotop.lu/annonces/415509/,Claude Konrath Promotions Sàrl,"Duplex à louer, Ville Haute","€ 2,900/mois","{'chambres/pièces': '2', 'superficie': '94\n m²', 'salles de bain': '2'}"
21,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/166243/,Prestige Immobilier sàrl,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois","{'chambre/pièce': '1', 'superficie': '90\n m²', 'étage': '3'}"
22,"Maison individuelle 190 m², Eischen, Gaichel, Habscht","€ 2,900/mois",Habscht,https://www.immotop.lu/annonces/444057/,Agence Immobilière Hélène Grober Sàrl,"Maison individuelle 190 m², Eischen, Gaichel, Habscht","€ 2,900/mois","{'chambres/pièces': '4', 'superficie': '190\n m²', 'salles de bain': '2'}"
23,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois",Luxembourg,https://www.immotop.lu/annonces/446445/,HOUSE INVEST,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois","{'chambres/pièces': '4', 'superficie': '297\n m²', 'salles de bain': '3'}"
24,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois",Luxembourg,https://www.immotop.lu/annonces/50677/,Immozac SARLS,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois","{'chambre/pièce': '1', 'superficie': '40\n m²', 'salle de bain': '1', 'étage': '2'}"
25,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/463501/,Bureau Immobilier Léa Kappweiler s.àr.l.,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois","{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '3'}"
26,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois",Stadtbredimus,https://www.immotop.lu/annonces/421871/,Patrimonew Immobilière Sàrl,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois","{'chambres/pièces': '3', 'superficie': '130\n m²', 'salle de bain': '1', 'étage': '1'}"
27,"Maison jumelée / mitoyenne 32 Cité du Soleil, Bettembourg, Bettembourg","€ 2,650/mois",Bettembourg,https://www.immotop.lu/annonces/451911/,LUX Residence SARL,"Maison jumelée / mitoyenne 32 Cité du Soleil, Bettembourg, Bettembourg","€ 2,650/mois","{'chambres/pièces': '3', 'superficie': '125\n m²', 'salles de bain': '3'}"
28,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/438539/,ISABELLA COLTAN REAL ESTATE,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois","{'chambres/pièces': '3', 'superficie': '150\n m²', 'salles de bain': '3', 'étage': '6'}"
