,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
0,"Appartement 2 chambres neuvième étage, Differdange, Lasauvage, Differdange","€ 1,700/mois",Differdange,https://www.immotop.lu/annonces/484049/,Agence Immobilière MARAMAX s.à r.l.,"Appartement 2 chambres neuvième étage, Differdange, Lasauvage, Differdange",1700.0,Appartement,2.0,95.0,1.0,9
1,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen","€ 2,900/mois",Strassen,https://www.immotop.lu/annonces/484467/,Multi Business Consultant,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen",2900.0,Maison jumelée / mitoyenne,3.0,135.0,2.0,
2,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/293219/,CDBgest S.à r.l.,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg",4400.0,Penthouse,3.0,146.0,2.0,5
3,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/370887/,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg",2150.0,Appartement,2.0,93.0,1.0,1
4,"Studio à louer, Gare","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/434557/,FMI IMMOBILIER,"Studio à louer, Gare",1550.0,Studio,1.0,25.0,,
5,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck",2900.0,Maison individuelle,4.0,200.0,,
6,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Mersch,https://www.immotop.lu/annonces/341755/,NEY Immobilière,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch",1800.0,Appartement,2.0,,1.0,1
7,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/481363/,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg",4500.0,Maison individuelle,4.0,205.0,2.0,
8,"Appartement premier étage, Rodange, Pétange","€ 1,380/mois",Pétange,https://www.immotop.lu/annonces/477385/,IMMO B2,"Appartement premier étage, Rodange, Pétange",1380.0,Appartement,,55.0,,1
9,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute",1750.0,Duplex,,,,
10,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 3,290/mois",Luxembourg,https://www.immotop.lu/annonces/456977/,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg",3290.0,Appartement,2.0,90.0,2.0,1
11,"Studio à louer, Ville Haute","€ 1,250/mois",Luxembourg,https://www.immotop.lu/annonces/477331/,Immo Sky Lux,"Studio à louer, Ville Haute",1250.0,Studio,1.0,27.0,1.0,
12,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,https://www.immotop.lu/annonces/325739/,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange",1980.0,Fermette,4.0,180.0,1.0,
13,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Luxembourg,https://www.immotop.lu/annonces/465209/,iHome S.à r.l.,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg",2250.0,Appartement,2.0,90.0,1.0,3
14,"Appartement 2 chambres 142, rue de Belvaux, Bruch, Esch-sur-Alzette","€ 1,700/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/463291/,Immo SOOO Service,"Appartement 2 chambres 142, rue de Belvaux, Bruch, Esch-sur-Alzette",1700.0,Appartement,2.0,72.0,1.0,1
