,Property,Price_Range,Location,Agency,Unit, Unit_Price (euro) ,Rooms,Area (squared meter),Bathrooms,Stage
29,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","725,694.00",1,62,,1
30,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","729,619.00",1,62,,2
31,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal","1,203,404.00",3,105,1,1
32,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal","1,203,404.00",3,105,1,1
33,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","718,471.00",1,47,1,T
34,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","761,041.00",1,45,1,T
35,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","990,402.00",1,59,1,1
36,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","1,260,080.00",2,73,1,T
37,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","1,368,293.00",2,80,1,2
38,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 1 chambre avenue du X Septembre, Belair, Luxembourg","827,466.00",1,49,,T
39,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,274,505.00",2,77,,3
40,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,281,178.00",2,77,,2
41,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,282,040.00",2,79,,T
42,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,288,859.00",2,77,,1
43,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,310,666.00",2,79,,3
44,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,313,108.00",2,79,,2
45,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,344,355.00",2,85,,1
46,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","1,345,585.00",2,85,,T
47,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","495,720.00",,36,,
48,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","497,024.00",,34,,
49,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","527,517.00",,34,,
50,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","598,537.00",1,45,,
51,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","598,607.00",1,45,,
52,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","599,036.00",1,45,,
53,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","608,966.00",1,45,,
54,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","609,395.00",1,45,,
55,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","609,406.00",1,45,,
56,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","619,675.00",1,46,,
57,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","619,778.00",1,45,,
58,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","696,874.00",1,51,,T
59,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Studio à vendre, Hollerich, Luxembourg","718,720.00",,41,1,
60,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","841,565.00",1,61,,1
61,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","853,060.00",1,61,,2
62,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","862,034.00",1,64,,1
63,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","868,471.00",1,61,,3
