,property,price_range,location,property_link,agency,unit,unit_price,unit_info
20,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105755/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,344,355","{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': '1'}"
21,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105757/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,345,585","{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': 'T'}"
22,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/114283/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 495,720",{'superficie': '36\n m²'}
23,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57881/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 497,024",{'superficie': '34\n m²'}
24,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57925/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 527,517",{'superficie': '34\n m²'}
25,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57825/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 598,537","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
26,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57839/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 598,607","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
27,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57845/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 599,036","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
28,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57917/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 608,966","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
29,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57919/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 609,395","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
30,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57915/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 609,406","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
31,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57911/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 619,675","{'chambre/pièce': '1', 'superficie': '46\n m²'}"
32,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57909/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 619,778","{'chambre/pièce': '1', 'superficie': '45\n m²'}"
33,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57889/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 696,874","{'chambre/pièce': '1', 'superficie': '51\n m²', 'étage': 'T'}"
34,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57811/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 718,720","{'superficie': '41\n m²', 'salle de bain': '1'}"
35,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57901/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 841,565","{'chambre/pièce': '1', 'superficie': '61\n m²', 'étage': '1'}"
36,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57907/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 853,060","{'chambre/pièce': '1', 'superficie': '61\n m²', 'étage': '2'}"
37,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57905/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 862,034","{'chambre/pièce': '1', 'superficie': '64\n m²', 'étage': '1'}"
38,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57923/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 868,471","{'chambre/pièce': '1', 'superficie': '61\n m²', 'étage': '3'}"
39,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57921/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 873,223","{'chambre/pièce': '1', 'superficie': '64\n m²', 'étage': '2'}"
40,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57927/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 887,818","{'chambre/pièce': '1', 'superficie': '64\n m²', 'étage': '3'}"
41,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57895/,New Immo,Local commercial en Vente,"€ 1,300,769","{'superficie': '109\n m²', 'étage': 'T'}"
42,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57931/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 1,411,664","{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '4'}"
43,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57929/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 1,426,285","{'chambres/pièces': '2', 'superficie': '101\n m²', 'salle de bain': '1', 'étage': '4'}"
44,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57853/,New Immo,Local commercial en Vente,"€ 1,507,336","{'superficie': '145\n m²', 'étage': 'T'}"
45,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57863/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg","€ 1,549,888","{'chambres/pièces': '2', 'superficie': '116\n m²', 'salle de bain': '1', 'étage': 'T'}"
