,0
0,4277
1,4283
2,4340
3,4347
4,4350
5,4367
6,4386
7,4387
8,4388
9,4394
10,4468
11,4493
12,4495
13,4576
14,4594
15,4596
16,4607
17,4615
18,4655
19,4656
20,4657
21,4659
22,4700
23,4721
24,4761
25,4768
26,4801
27,4815
28,4984
29,5028
30,5039
31,5053
32,5054
33,5055
34,5056
35,5057
36,5058
37,5059
38,5060
39,5061
40,5062
41,5063
42,5064
43,5065
44,5066
45,5067
46,5068
47,5069
48,5070
49,5071
50,5072
51,5190
52,5196
53,5197
54,5198
55,5217
56,5221
57,5230
58,5275
59,5276
60,5281
61,5282
62,5284
63,5286
64,5287
65,5299
66,5388
67,5418
68,5431
69,5459
70,5461
71,5523
72,5524
73,5525
74,5526
75,5528
76,5530
77,5535
78,5536
79,5570
80,5575
81,5577
82,5578
83,5615
84,5616
85,5617
86,5618
87,5620
88,5621
89,5622
90,5623
91,5624
92,5625
93,5626
94,5795
95,5796
96,5797
97,5798
98,5799
99,5800
100,5801
101,5802
102,5806
103,5937
104,5961
105,5965
106,6032
107,6033
108,6099
109,6127
110,6139
111,6142
112,6153
113,6162
114,6168
115,6169
116,6276
117,6378
118,6379
119,6398
120,6399
121,6400
122,6402
123,6404
124,6405
125,6467
126,6481
127,6489
128,6532
129,6537
130,6542
131,6548
132,6567
133,6569
134,6580
135,6604
136,6613
137,6653
138,6665
139,6668
140,6685
141,6691
142,6790
143,6791
144,6794
145,6813
146,6814
147,6830
148,6835
149,6913
150,6915
151,6931
152,6943
153,6954
154,6956
155,6959
156,6982
157,6985
158,6986
159,6998
160,7005
161,7006
162,7024
163,7027
164,7030
165,7048
166,7055
167,7056
168,7057
169,7058
170,7059
171,7060
172,7061
173,7062
174,7063
175,7064
176,7072
177,7075
178,7082
179,7083
180,7093
181,7100
182,7101
183,7111
184,7239
185,7241
186,7251
187,7252
188,7255
189,7267
190,7268
191,7269
192,7270
193,7271
194,7274
195,7278
196,7281
197,7286
198,7293
199,7302
200,7315
201,7316
202,7317
203,7318
204,7326
205,7327
206,7328
207,7329
208,7330
209,7331
210,7332
211,7333
212,7334
213,7335
214,7336
215,7337
216,7338
217,7339
218,7340
219,7341
220,7342
221,7343
222,7344
223,7374
224,7381
225,7382
226,7469
227,7525
228,7526
229,7527
230,7531
231,7535
232,7536
233,7538
234,7572
235,7580
236,7612
237,7613
238,7618
239,7628
240,7629
241,7630
242,7631
243,7632
244,7633
245,7634
246,7635
247,7636
248,7638
249,7640
250,7641
251,7642
252,7653
253,7655
254,7674
255,7685
256,7687
257,7688
258,7689
259,7691
260,7699
261,7712
262,7726
263,7744
264,7748
265,7792
266,7793
267,7795
268,7804
269,7805
270,7814
271,7829
272,7832
273,7837
274,7847
275,7850
276,7863
277,7879
278,7891
279,7892
280,7893
281,7894
282,7936
283,7940
284,7945
285,7954
286,7967
287,7970
288,8005
289,8013
290,8053
291,8054
292,8084
293,8101
294,8116
295,8135
296,8164
297,8239
298,8242
299,8318
300,8319
301,8326
302,8328
303,8344
304,8378
305,8379
306,8398
307,8403
308,8411
309,8412
310,8414
311,8441
312,8446
313,8454
314,8475
315,8497
316,8501
317,8537
318,8559
319,8575
320,8587
321,8604
322,8624
323,8648
324,8651
325,8670
326,8720
327,8769
328,8789
329,8793
330,8794
331,8795
332,8837
333,8849
334,8851
335,8862
336,9042
337,9044
338,9045
339,9061
340,9072
341,9073
342,9076
343,9088
344,9097
345,9111
346,9172
347,9173
348,9177
349,9213
350,9236
351,9282
352,9283
353,9294
354,9296
355,9297
356,9306
357,9309
358,9310
359,9311
360,9322
361,9368
362,9383
363,9414
364,9426
365,9427
366,9442
367,9455
368,9461
369,9482
370,9522
371,9523
372,9526
373,9551
374,9556
375,9585
376,9718
377,9762
378,9777
379,9795
380,9815
381,9891
382,9938
383,9942
384,9952
385,9973
386,9982
387,9995
388,10002
389,10015
390,10022
391,10035
