,0
0,10682
1,10695
2,10702
3,10715
4,10722
5,10735
6,10742
7,10755
8,10762
9,10775
10,10782
11,10795
12,10802
13,10815
14,10822
15,10835
16,10843
17,10856
18,10863
19,10876
20,10883
21,10896
22,10903
23,10916
24,10923
25,10936
26,10943
27,10956
28,10963
29,10976
30,10983
31,10996
32,11003
33,11016
34,11023
35,11036
36,11043
37,11056
38,11063
39,11076
40,11083
41,11096
42,11103
43,11116
44,11123
45,11136
46,11143
47,11156
48,11163
49,11176
50,11183
51,11196
52,11203
53,11216
54,11223
55,11236
56,11243
57,11256
58,11263
59,11276
60,11283
61,11296
62,11303
63,11316
64,11323
65,11336
66,11343
67,11356
68,11363
69,11376
70,11383
71,11396
72,11403
73,11416
74,11423
75,11436
76,11443
77,11456
78,11463
79,11476
80,11483
81,11496
82,11503
83,11516
84,11523
85,11536
86,11543
87,11556
88,11563
89,11576
90,11583
91,11596
92,11603
93,11616
94,11623
95,11636
96,11643
97,11656
98,11663
99,11676
100,11683
101,11696
102,11703
103,11716
104,11723
105,11736
106,11743
107,11756
108,11763
109,11776
110,11783
111,11796
112,11803
113,11816
114,11823
115,11836
116,11843
117,11856
118,11863
119,11876
120,11883
