,0,1
10,https://www.athome.lu/en/buy/house/belvaux/id-7686839.html,"{'Sale price': '2,230,000 €', 'Availability': 'To be agreed', 'Livable surface': '298 m²', 'Land': '22.05 ares', 'Total floors': '3', 'Number of rooms': '12', 'Number of bedrooms': '4', 'Year of construction': '2003', 'Fitted kitchen': 'Yes', 'Bathooms': '3', 'Bathtub': '1', 'Shower': '2', '': '', 'Terrace': '100 m²', 'Balcony': '30 m²', 'Garden': 'Yes', 'Open parking space': '4', 'Basement': 'Yes', 'Laundry': 'Yes', 'Attic': 'Yes', 'Fireplace': 'Yes', 'Swimming pool': 'Yes', 'Energy class': 'F', 'Thermal insulation class': 'G', 'Gas heating': 'Yes'}"
11,https://www.athome.lu/en/buy/house/luxembourg/id-7697964.html,"{'Sale price': '1,665,000 €', 'Availability': 'To be agreed', 'Livable surface': '150 m²', 'Land': '2.85 ares', 'Number of bedrooms': '5', 'Year of construction': '1930', 'Renovated': 'Yes', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '1', 'Basement': 'Yes', 'Laundry': 'Yes', 'Attic': 'Yes', 'Parquet': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'NC', 'Thermal insulation class': 'NC', 'Fuel heating': 'Yes'}"
12,https://www.athome.lu/en/buy/house/bereldange/id-7679661.html,"{'Sale price': '1,665,000 €', 'Availability': 'Immediate', 'Livable surface': '150 m²', 'Land': '2.85 ares', 'Number of bedrooms': '5', 'Year of construction': '1930', 'Renovated': 'Yes', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '1', 'Basement': 'Yes', 'Laundry': 'Yes', 'Attic': 'Yes', 'Parquet': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'NC', 'Thermal insulation class': 'NC', 'Fuel heating': 'Yes'}"
13,https://www.athome.lu/en/buy/house/moutfort/id-7682819.html,"{'Sale price': '2,299,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '462 m²', 'Land': '7.1 ares', 'Number of bedrooms': '5', 'Year of construction': '1998', 'Renovated': 'Yes', 'Living room': '65 m²', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Open kitchen': 'Yes', '': '', 'Terrace': '80 m²', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '1', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Attic': 'Yes', 'Converted attic': 'Yes', 'Fireplace': 'Yes', 'Parquet': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'C', 'Thermal insulation class': 'C', 'Gas heating': 'Yes', 'Solar panels': 'Yes'}"
14,https://www.athome.lu/en/buy/house/wellenstein/id-7646625.html,"{'Sale price': '1,850,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '266 m²', 'Land': '617 ares', 'Number of rooms': '13', 'Number of bedrooms': '5', 'Year of construction': '1945', 'Living room': '33 m²', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Shower rooms': '2', '': '', 'Terrace': '50 m²', 'Balcony': '25 m²', 'Garden': 'Yes', 'Open parking space': '3', 'Basement': 'Yes', 'Laundry': 'Yes', 'Attic': 'Yes', 'Convertible attic': 'Yes', 'Converted attic': 'Yes', 'Energy class': 'H', 'Thermal insulation class': 'H', 'Gas heating': 'Yes'}"
15,https://www.athome.lu/en/buy/house/wellenstein/id-7646625.html,"{'Sale price': '1,850,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '266 m²', 'Land': '617 ares', 'Number of rooms': '13', 'Number of bedrooms': '5', 'Year of construction': '1945', 'Living room': '33 m²', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Shower rooms': '2', '': '', 'Terrace': '50 m²', 'Balcony': '25 m²', 'Garden': 'Yes', 'Open parking space': '3', 'Basement': 'Yes', 'Laundry': 'Yes', 'Attic': 'Yes', 'Convertible attic': 'Yes', 'Converted attic': 'Yes', 'Energy class': 'H', 'Thermal insulation class': 'H', 'Gas heating': 'Yes'}"
16,https://www.athome.lu/en/buy/house/helmsange/id-7681330.html,"{'Sale price': '2,350,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '230 m²', 'Land': '8.54 ares', 'Number of bedrooms': '5', 'Year of construction': '1995', 'Living room': '38 m²', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathooms': '2', '': '', 'Terrace': '60 m²', 'Balcony': '5 m²', 'Garden': '600 m²', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Convertible attic': 'Yes', 'Fireplace': 'Yes', 'Parquet': 'Yes', 'Energy class': 'F', 'Thermal insulation class': 'F', 'Gas heating': 'Yes'}"
17,https://www.athome.lu/en/buy/house/hautcharage/id-7718661.html,"{'Sale price': '1,721,000 €', 'Livable surface': '211 m²', 'Land': '4.53 ares', ""Property's floor"": '2', 'Number of bedrooms': '4', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathooms': '2', '': '', 'Terrace': '24.82 m²', 'Garden': 'Yes', 'Open parking space': '2', 'Closed parking space': '2', 'Laundry': 'Yes', 'Energy class': 'A', 'Thermal insulation class': 'A'}"
18,https://www.athome.lu/en/buy/house/consdorf/id-7486499.html,"{'Sale price': '1,395,000 €', 'Availability': 'To be agreed', 'Livable surface': '200 m²', 'Land': '4.5 ares', 'Number of bedrooms': '3', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Separate kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '3', 'Attic': 'Yes', 'Convertible attic': 'Yes', 'Converted attic': 'Yes', 'Fireplace': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'NC', 'Thermal insulation class': 'NC', 'Fuel heating': 'Yes'}"
19,https://www.athome.lu/en/buy/house/wahlhausen/id-7661585.html,"{'Sale price': '908,000 €', 'Type of mandate': 'Exclusive', 'Availability': 'To be agreed', 'Livable surface': '170 m²', 'Land': '4.39 ares', ""Property's floor"": '0', 'Number of rooms': '11', 'Number of bedrooms': '5', 'Year of construction': '2010', 'Living room': 'Yes', 'Fitted kitchen': 'Yes', 'Open kitchen': 'Yes', 'Bathroom': '1', '': '', 'Terrace': 'Yes', 'Balcony': 'Yes', 'Garden': 'Yes', 'Open parking space': '2', 'Basement': 'Yes', 'Laundry': 'Yes', 'Wine cellar': 'Yes', 'Convertible attic': 'Yes', 'Converted attic': 'Yes', 'Pets accepted': 'Yes', 'Energy class': 'B', 'Thermal insulation class': 'B', 'Gas heating': 'Yes', 'Pump heating': 'Yes'}"
