,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
23,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163263/,Hektar,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg",1298024.0,Appartement,2.0,106.0,1.0,3
24,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163267/,Hektar,"Appartement 3 chambres neuf, rez-de-chaussée, Belair, Luxembourg",1322353.0,Appartement,3.0,107.0,1.0,4
25,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163271/,Hektar,"Penthouse neuf, 207 m², Belair, Luxembourg",2877222.0,Penthouse,3.0,207.0,2.0,5
26,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/116279/,BATINVEST,"Appartement 1 chambre 79 rue de Luxembourg, Kehlen, Kehlen",604952.0,Appartement,1.0,49.0,1.0,T
27,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58371/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen",959507.0,Appartement,2.0,92.0,2.0,1
28,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58345/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen",965368.0,Appartement,2.0,91.0,2.0,1
29,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58339/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen",994863.0,Appartement,2.0,91.0,2.0,1
30,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58299/,BATINVEST,"Appartement 1 chambre 79 rue de Luxembourg, Kehlen, Kehlen",1004543.0,Appartement,1.0,86.0,1.0,T
31,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58307/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1093856.0,Appartement,2.0,92.0,2.0,T
32,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58353/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen",1098239.0,Appartement,2.0,96.0,2.0,1
