,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
39,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58387/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,619,631",Appartement,"{'chambres/pièces': '3', 'superficie': '141\n m²', 'bains/douches': '3', 'étage': '3'}"
40,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167135/,BATINVEST,"Maison individuelle 114 m², neuve, Bettange-sur-Mess, Dippach","€ 1,170,280",Maison individuelle,"{'chambres/pièces': '2', 'superficie': '114\n m²', 'bains/douches': '2'}"
41,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167137/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach","€ 1,346,658",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '205\n m²', 'bains/douches': '2'}"
42,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167139/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach","€ 1,594,675",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '205\n m²', 'bain/douche': '1'}"
43,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167141/,BATINVEST,"Maison individuelle 200 m², neuve, Bettange-sur-Mess, Dippach","€ 1,604,291",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '200\n m²', 'bain/douche': '1'}"
44,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167143/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach","€ 1,606,675",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '205\n m²', 'bain/douche': '1'}"
45,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167145/,BATINVEST,"Maison individuelle 205 m², neuve, Bettange-sur-Mess, Dippach","€ 1,622,185",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '205\n m²', 'bains/douches': '2'}"
46,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167149/,BATINVEST,"Maison individuelle 213 m², neuve, Bettange-sur-Mess, Dippach","€ 1,643,598",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '213\n m²', 'bains/douches': '2'}"
47,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167151/,BATINVEST,"Maison individuelle 203 m², neuve, Bettange-sur-Mess, Dippach","€ 1,723,030",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '203\n m²', 'bains/douches': '2'}"
48,Maisons individuelles dans programme neuf à Dippach,"€ 1,170,280 - € 1,928,313",Dippach,https://www.immotop.lu/annonces/513441/167153/,BATINVEST,"Maison individuelle 210 m², neuve, Bettange-sur-Mess, Dippach","€ 1,928,313",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '210\n m²', 'bains/douches': '2'}"
49,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58337/,BATINVEST,"Maison individuelle 172 m², neuve, Godbrange, Junglinster","€ 1,335,772",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '172\n m²', 'bains/douches': '2'}"
50,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58309/,BATINVEST,"Maison individuelle 178 m², neuve, Godbrange, Junglinster","€ 1,355,521",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '178\n m²', 'bains/douches': '2'}"
51,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58321/,BATINVEST,"Maison individuelle 200 m², neuve, Godbrange, Junglinster","€ 1,362,373",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '200\n m²', 'bains/douches': '2'}"
52,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58347/,BATINVEST,"Maison individuelle 194 m², neuve, Godbrange, Junglinster","€ 1,516,774",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '194\n m²', 'bains/douches': '2'}"
53,Appartements dans programme neuf à Pétange,"€ 659,521 - € 719,340",Pétange,https://www.immotop.lu/annonces/468785/150559/,EFA PROMO Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Pétange, Pétange","€ 659,521",Appartement,"{'chambres/pièces': '2', 'superficie': '62\n m²', 'étage': 'T'}"
54,Appartements dans programme neuf à Pétange,"€ 659,521 - € 719,340",Pétange,https://www.immotop.lu/annonces/468785/150557/,EFA PROMO Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Pétange, Pétange","€ 696,680",Appartement,"{'chambres/pièces': '2', 'superficie': '84\n m²', 'étage': 'T'}"
55,Appartements dans programme neuf à Pétange,"€ 659,521 - € 719,340",Pétange,https://www.immotop.lu/annonces/468785/150555/,EFA PROMO Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Pétange, Pétange","€ 719,340",Appartement,"{'chambres/pièces': '2', 'superficie': '75\n m²', 'étage': 'T'}"
56,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163297/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 719,332",Appartement,"{'chambre/pièce': '1', 'superficie': '55\n m²', 'étage': '1'}"
57,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163299/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 725,340",Appartement,"{'chambre/pièce': '1', 'superficie': '62\n m²', 'étage': '1'}"
58,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163303/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 725,694",Appartement,"{'chambre/pièce': '1', 'superficie': '62\n m²', 'étage': '1'}"
59,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163307/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 729,619",Appartement,"{'chambre/pièce': '1', 'superficie': '62\n m²', 'étage': '2'}"
60,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163317/,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal","€ 1,203,404",Appartement,"{'chambres/pièces': '3', 'superficie': '105\n m²', 'bain/douche': '1', 'étage': '1'}"
61,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163311/,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal","€ 1,203,404",Appartement,"{'chambres/pièces': '3', 'superficie': '105\n m²', 'bain/douche': '1', 'étage': '1'}"
62,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161831/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 718,471",Appartement,"{'chambre/pièce': '1', 'superficie': '47\n m²', 'bain/douche': '1', 'étage': 'T'}"
63,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161839/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 761,041",Appartement,"{'chambre/pièce': '1', 'superficie': '45\n m²', 'bain/douche': '1', 'étage': 'T'}"
64,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161851/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 990,402",Appartement,"{'chambre/pièce': '1', 'superficie': '59\n m²', 'bain/douche': '1', 'étage': '1'}"
65,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161857/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,260,080",Appartement,"{'chambres/pièces': '2', 'superficie': '73\n m²', 'bain/douche': '1', 'étage': 'T'}"
66,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161863/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,368,293",Appartement,"{'chambres/pièces': '2', 'superficie': '80\n m²', 'bain/douche': '1', 'étage': '2'}"
67,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161933/,New Immo,"Appartement 1 chambre avenue du X Septembre, Belair, Luxembourg","€ 786,093",Appartement,"{'chambre/pièce': '1', 'superficie': '49\n m²', 'étage': 'T'}"
68,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161935/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,210,779",Appartement,"{'chambres/pièces': '2', 'superficie': '77\n m²', 'étage': '3'}"
69,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161937/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,217,119",Appartement,"{'chambres/pièces': '2', 'superficie': '77\n m²', 'étage': '2'}"
70,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161941/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,217,938",Appartement,"{'chambres/pièces': '2', 'superficie': '79\n m²', 'étage': 'T'}"
71,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161945/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,224,416",Appartement,"{'chambres/pièces': '2', 'superficie': '77\n m²', 'étage': '1'}"
72,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161951/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,245,133",Appartement,"{'chambres/pièces': '2', 'superficie': '79\n m²', 'étage': '3'}"
73,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161957/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,247,453",Appartement,"{'chambres/pièces': '2', 'superficie': '79\n m²', 'étage': '2'}"
74,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161963/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,277,137",Appartement,"{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': '1'}"
75,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161969/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,278,306",Appartement,"{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': 'T'}"
76,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161877/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 495,720",Studio,{'superficie': '36\n m²'}
77,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161883/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 497,024",Studio,{'superficie': '34\n m²'}
78,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161887/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 527,517",Studio,{'superficie': '34\n m²'}
79,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161889/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 598,537",Studio,"{'chambre/pièce': '1', 'superficie': '45\n m²'}"
80,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161891/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 598,607",Studio,"{'chambre/pièce': '1', 'superficie': '45\n m²'}"
81,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161893/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 599,036",Studio,"{'chambre/pièce': '1', 'superficie': '45\n m²'}"
82,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161895/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 608,966",Studio,"{'chambre/pièce': '1', 'superficie': '45\n m²'}"
83,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161897/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 609,395",Studio,"{'chambre/pièce': '1', 'superficie': '45\n m²'}"
