,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,"Maison individuelle 285 m², Strassen, Strassen","€ 3,390,000",Strassen,https://www.immotop.lu/annonces/482585/,Barnes Luxembourg,"Maison individuelle 285 m², Strassen, Strassen","€ 3,390,000",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '285\n m²'}"
1,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Dalheim,https://www.immotop.lu/annonces/486923/,IMMODUN SARL,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Appartement,"{'chambres/pièces': '4', 'superficie': '137\n m²', 'bains/douches': '2', 'étage': '1'}"
2,"Appartement 4 chambres premier étage, Dudelange, Dudelange","€ 1,190,000",Dudelange,https://www.immotop.lu/annonces/514401/,ImmoNovation,"Appartement 4 chambres premier étage, Dudelange, Dudelange","€ 1,190,000",Appartement,"{'chambres/pièces': '4', 'superficie': '170\n m²', 'bains/douches': '3', 'étage': '1'}"
3,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '100\n m²', 'bain/douche': '1'}"
4,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Beaufort,https://www.immotop.lu/annonces/474291/,Ultimo Immo,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Appartement,"{'chambres/pièces': '2', 'superficie': '99\n m²', 'bain/douche': '1', 'étage': 'T'}"
5,"Duplex à vendre, Dalheim","€ 910,000",Dalheim,https://www.immotop.lu/annonces/323925/,IMMODUN SARL,"Duplex à vendre, Dalheim","€ 910,000",Duplex,"{'chambres/pièces': '3', 'superficie': '129\n m²', 'bains/douches': '2'}"
6,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163171/,Hektar,"Appartement neuf, rez-de-chaussée, Belair, Luxembourg","€ 610,564",Appartement,"{'superficie': '41\n m²', 'bain/douche': '1', 'étage': '1'}"
7,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163175/,Hektar,"Appartement neuf, rez-de-chaussée, Belair, Luxembourg","€ 632,783",Appartement,"{'superficie': '42\n m²', 'bain/douche': '1', 'étage': '1'}"
8,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163179/,Hektar,"Studio à vendre, Belair, Luxembourg","€ 671,020",Studio,"{'superficie': '45\n m²', 'bain/douche': '1'}"
9,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163183/,Hektar,"Studio à vendre, Belair, Luxembourg","€ 672,631",Studio,"{'superficie': '45\n m²', 'bain/douche': '1'}"
10,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163187/,Hektar,"Studio à vendre, Belair, Luxembourg","€ 709,387",Studio,"{'superficie': '50\n m²', 'bain/douche': '1'}"
11,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163191/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 781,010",Appartement,"{'chambre/pièce': '1', 'superficie': '55\n m²', 'bain/douche': '1', 'étage': '1'}"
12,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163195/,Hektar,Bureau - Cabinet en Vente,"€ 797,705",Bureau - Cabinet,"{'superficie': '73\n m²', 'étage': 'T'}"
13,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163201/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 801,124",Appartement,"{'chambre/pièce': '1', 'superficie': '59\n m²', 'bain/douche': '1', 'étage': '1'}"
14,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163207/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 811,876",Appartement,"{'chambre/pièce': '1', 'superficie': '59\n m²', 'bain/douche': '1', 'étage': '2'}"
15,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163213/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 829,484",Appartement,"{'chambre/pièce': '1', 'superficie': '60\n m²', 'bain/douche': '1', 'étage': '2'}"
16,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163219/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 830,298",Appartement,"{'chambre/pièce': '1', 'superficie': '61\n m²', 'bain/douche': '1', 'étage': '1'}"
17,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163227/,Hektar,Bureau - Cabinet en Vente,"€ 849,545",Bureau - Cabinet,"{'superficie': '76\n m²', 'étage': 'T'}"
18,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163233/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 893,300",Appartement,"{'chambre/pièce': '1', 'superficie': '65\n m²', 'bain/douche': '1', 'étage': '3'}"
19,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163239/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 897,914",Appartement,"{'chambre/pièce': '1', 'superficie': '65\n m²', 'bain/douche': '1', 'étage': '4'}"
20,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163245/,Hektar,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,001,471",Appartement,"{'chambres/pièces': '2', 'superficie': '76\n m²', 'bain/douche': '1', 'étage': '2'}"
21,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163251/,Hektar,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,124,329",Appartement,"{'chambres/pièces': '2', 'superficie': '89\n m²', 'bain/douche': '1', 'étage': '1'}"
22,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163259/,Hektar,Bureau - Cabinet en Vente,"€ 1,190,451",Bureau - Cabinet,"{'superficie': '131\n m²', 'étage': 'T'}"
23,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163263/,Hektar,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,298,024",Appartement,"{'chambres/pièces': '2', 'superficie': '106\n m²', 'bain/douche': '1', 'étage': '3'}"
24,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163267/,Hektar,"Appartement 3 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,322,353",Appartement,"{'chambres/pièces': '3', 'superficie': '107\n m²', 'bain/douche': '1', 'étage': '4'}"
25,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163271/,Hektar,"Penthouse neuf, 207 m², Belair, Luxembourg","€ 2,877,222",Penthouse,"{'chambres/pièces': '3', 'superficie': '207\n m²', 'bains/douches': '2', 'étage': '5'}"
26,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/116279/,BATINVEST,"Appartement 1 chambre 79 rue de Luxembourg, Kehlen, Kehlen","€ 604,952",Appartement,"{'chambre/pièce': '1', 'superficie': '49\n m²', 'bain/douche': '1', 'étage': 'T'}"
27,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58371/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 959,507",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'bains/douches': '2', 'étage': '1'}"
28,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58345/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 965,368",Appartement,"{'chambres/pièces': '2', 'superficie': '91\n m²', 'bains/douches': '2', 'étage': '1'}"
29,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58339/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 994,863",Appartement,"{'chambres/pièces': '2', 'superficie': '91\n m²', 'bains/douches': '2', 'étage': '1'}"
30,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58299/,BATINVEST,"Appartement 1 chambre 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,004,543",Appartement,"{'chambre/pièce': '1', 'superficie': '86\n m²', 'bain/douche': '1', 'étage': 'T'}"
31,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58307/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,093,856",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'bains/douches': '2', 'étage': 'T'}"
32,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58353/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,098,239",Appartement,"{'chambres/pièces': '2', 'superficie': '96\n m²', 'bains/douches': '2', 'étage': '1'}"
33,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58325/,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,174,374",Appartement,"{'chambres/pièces': '2', 'superficie': '95\n m²', 'bain/douche': '1', 'étage': 'T'}"
34,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/116281/,BATINVEST,"Maison individuelle 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,533,929",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '132\n m²', 'bains/douches': '2'}"
35,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58405/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,533,929",Appartement,"{'chambres/pièces': '3', 'superficie': '132\n m²', 'bains/douches': '2', 'étage': '3'}"
36,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58377/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,582,103",Appartement,"{'chambres/pièces': '3', 'superficie': '145\n m²', 'bains/douches': '3', 'étage': '1'}"
37,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/58363/,BATINVEST,"Appartement 3 chambres 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,586,399",Appartement,"{'chambres/pièces': '3', 'superficie': '145\n m²', 'bains/douches': '3', 'étage': '1'}"
38,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,https://www.immotop.lu/annonces/146217/116283/,BATINVEST,"Maison individuelle 79 rue de Luxembourg, Kehlen, Kehlen","€ 1,619,631",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '141\n m²', 'bains/douches': '3'}"
