,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,"Appartement 2 chambres neuvième étage, Differdange, Lasauvage, Differdange","€ 1,700/mois",Differdange,https://www.immotop.lu/annonces/484049/,Agence Immobilière MARAMAX s.à r.l.,"Appartement 2 chambres neuvième étage, Differdange, Lasauvage, Differdange","€ 1,700/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '95\n m²', 'salle de bain': '1', 'étage': '9'}"
1,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen","€ 2,900/mois",Strassen,https://www.immotop.lu/annonces/484467/,Multi Business Consultant,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen","€ 2,900/mois",Maison jumelée / mitoyenne,"{'chambres/pièces': '3', 'superficie': '135\n m²', 'salles de bain': '2'}"
2,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/293219/,CDBgest S.à r.l.,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '146\n m²', 'salles de bain': '2', 'étage': '5'}"
3,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/370887/,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '93\n m²', 'salle de bain': '1', 'étage': '1'}"
4,"Studio à louer, Gare","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/434557/,FMI IMMOBILIER,"Studio à louer, Gare","€ 1,550/mois",Studio,"{'chambre/pièce': '1', 'superficie': '25\n m²'}"
5,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '200\n m²'}"
6,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Mersch,https://www.immotop.lu/annonces/341755/,NEY Immobilière,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Appartement,"{'chambres/pièces': '2', 'salle de bain': '1', 'étage': '1'}"
7,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/481363/,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '205\n m²', 'salles de bain': '2'}"
8,"Appartement premier étage, Rodange, Pétange","€ 1,380/mois",Pétange,https://www.immotop.lu/annonces/477385/,IMMO B2,"Appartement premier étage, Rodange, Pétange","€ 1,380/mois",Appartement,"{'superficie': '55\n m²', 'étage': '1'}"
9,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute","€ 1,750/mois",Duplex,{}
