,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63659/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange",890572.0,Appartement,2.0,81.0,1.0,1
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/155649/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange",1260043.0,Appartement,2.0,75.0,1.0,T
2,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63641/,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange",2886577.0,Penthouse,3.0,174.0,2.0,3
3,"Duplex à vendre, Bridel","€ 1,500,000",Kopstal,https://www.immotop.lu/annonces/396805/,Colliers Luxembourg,"Duplex à vendre, Bridel",1500000.0,Duplex,,167.0,3.0,
4,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange",595083.0,Maison individuelle,3.0,100.0,1.0,
5,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Bertrange,https://www.immotop.lu/annonces/323949/,Barnes Luxembourg,"Villa indépendante 700 m², Bertrange, Bertrange",,Villa indépendante,5.0,700.0,3.0,
6,Penthouses dans programme neuf à Hesperange,"€ 2,410,000",Hesperange,https://www.immotop.lu/annonces/284877/99077/,Real Value,"Penthouse 2, Op der Sterz, Fentange, Hesperange",2410000.0,Penthouse,3.0,208.0,2.0,3
7,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/155639/,SOLUM REAL ESTATE S.à r.l.,"Appartement 1 chambre a laangert, Bertrange, Bertrange",868104.0,Appartement,1.0,62.0,1.0,1
8,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/146575/,SOLUM REAL ESTATE S.à r.l.,"Appartement 2 chambres a laangert, Bertrange, Bertrange",895000.0,Appartement,2.0,79.0,1.0,2
9,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/25355/,SOLUM REAL ESTATE S.à r.l.,"Appartement 1 chambre a laangert, Bertrange, Bertrange",1042449.0,Appartement,1.0,63.0,1.0,T
10,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/35925/,SOLUM REAL ESTATE S.à r.l.,"Appartement 2 chambres a laangert, Bertrange, Bertrange",1167799.0,Appartement,2.0,90.0,2.0,1
11,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/26095/,SOLUM REAL ESTATE S.à r.l.,"Appartement 2 chambres a laangert, Bertrange, Bertrange",1226642.0,Appartement,2.0,89.0,2.0,T
12,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/26431/,SOLUM REAL ESTATE S.à r.l.,"Appartement 3 chambres a laangert, Bertrange, Bertrange",1765532.0,Appartement,3.0,119.0,2.0,1
13,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/25707/,SOLUM REAL ESTATE S.à r.l.,"Penthouse a laangert, Bertrange, Bertrange",2988400.0,Penthouse,4.0,168.0,3.0,3
