,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
24,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/370887/,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg",2150.0,Appartement,2.0,93.0,1.0,1
25,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/481363/,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg",4500.0,Maison individuelle,4.0,205.0,2.0,
26,"Appartement 2 chambres rue Dominique Lang, Dudelange, Dudelange","€ 2,250/mois",Dudelange,https://www.immotop.lu/annonces/165839/,IMMO SP,"Appartement 2 chambres rue Dominique Lang, Dudelange, Dudelange",2250.0,Appartement,2.0,135.0,1.0,3
27,"Appartement 3 chambres rez-de-chaussée, Berdorf, Berdorf","€ 1,800/mois",Berdorf,https://www.immotop.lu/annonces/500647/,M2 S.A. by Serge Veyder,"Appartement 3 chambres rez-de-chaussée, Berdorf, Berdorf",1800.0,Appartement,3.0,108.0,1.0,T
28,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois",Luxembourg,https://www.immotop.lu/annonces/446445/,HOUSE INVEST,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg",5700.0,Maison jumelée / mitoyenne,4.0,297.0,3.0,
29,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois",Luxembourg,https://www.immotop.lu/annonces/50677/,Immozac SARLS,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg",1450.0,Appartement,1.0,40.0,1.0,2
30,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/463501/,Bureau Immobilier Léa Kappweiler s.àr.l.,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg",2300.0,Appartement,2.0,90.0,1.0,3
31,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois",Stadtbredimus,https://www.immotop.lu/annonces/421871/,Patrimonew Immobilière Sàrl,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus",2200.0,Appartement,3.0,130.0,1.0,1
32,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/438539/,ISABELLA COLTAN REAL ESTATE,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg",4500.0,Penthouse,3.0,150.0,3.0,6
33,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois",Luxembourg,https://www.immotop.lu/annonces/165319/,IMMO FRANK,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg",5400.0,Penthouse,3.0,229.0,1.0,9
34,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois",Echternach,https://www.immotop.lu/annonces/37409/,Senior Hotel Echternach,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach",2390.0,Appartement,1.0,43.0,1.0,T
35,"Appartement 2 chambres neuvième étage, Differdange, Lasauvage, Differdange","€ 1,700/mois",Differdange,https://www.immotop.lu/annonces/484049/,Agence Immobilière MARAMAX s.à r.l.,"Appartement 2 chambres neuvième étage, Differdange, Lasauvage, Differdange",1700.0,Appartement,2.0,95.0,1.0,9
36,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange","€ 1,800/mois",Hesperange,https://www.immotop.lu/annonces/501011/,IMMO Bernard,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange",1800.0,Appartement,2.0,95.0,1.0,1
37,"Appartement rue tubis, Cessange, Luxembourg","€ 2,200/mois",Luxembourg,https://www.immotop.lu/annonces/486767/,Bureau Immobilier GUILLAUME BISDORFF,"Appartement rue tubis, Cessange, Luxembourg",2200.0,Appartement,,,,T
38,"Appartement 1 chambre neuf, premier étage, Dommeldange, Luxembourg","€ 1,500/mois",Luxembourg,https://www.immotop.lu/annonces/500071/,Move In Immobilier Sarl,"Appartement 1 chambre neuf, premier étage, Dommeldange, Luxembourg",1500.0,Appartement,1.0,54.0,,1
39,"Appartement 2 chambres troisième étage, Belair, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/474147/,RE/MAX IMMO EVOLUTION,"Appartement 2 chambres troisième étage, Belair, Luxembourg",3100.0,Appartement,2.0,103.0,1.0,3
40,"Maison individuelle 180 m², Belair, Luxembourg","€ 4,300/mois",Luxembourg,https://www.immotop.lu/annonces/477397/,HOUSE BROKERS Real Estate,"Maison individuelle 180 m², Belair, Luxembourg",4300.0,Maison individuelle,4.0,180.0,2.0,
41,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/497785/,MKM Consult,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg",2000.0,Appartement,2.0,82.0,1.0,2
42,"Triplex à louer, Feulen, Niederfeulen","€ 2,200/mois",Feulen,https://www.immotop.lu/annonces/462203/,Immobilière Paul Reinig,"Triplex à louer, Feulen, Niederfeulen",2200.0,Triplex,4.0,161.0,1.0,
43,"Appartement 1 chambre 26 rue Duchscher, Echternach, Echternach","€ 1,050/mois",Echternach,https://www.immotop.lu/annonces/493935/,IMMO-SQUARE,"Appartement 1 chambre 26 rue Duchscher, Echternach, Echternach",1050.0,Appartement,1.0,55.0,1.0,2
44,"Appartement 1 chambre 11 Boulevard du Jazz, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/459737/,GENIMMO GESTION,"Appartement 1 chambre 11 Boulevard du Jazz, Al-Esch, Esch-sur-Alzette",1500.0,Appartement,1.0,69.0,1.0,3
45,"Maison jumelée / mitoyenne 135 m², Neudorf-Weimershof, Luxembourg","€ 3,450/mois",Luxembourg,https://www.immotop.lu/annonces/404369/,EVA IMMO S.A,"Maison jumelée / mitoyenne 135 m², Neudorf-Weimershof, Luxembourg",3450.0,Maison jumelée / mitoyenne,3.0,135.0,2.0,
46,"Appartement 1 chambre excellent état, premier étage, Al-Esch, Esch-sur-Alzette","€ 1,050/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/497761/,COLLINI WELTER Immobilière S.à.r.l.,"Appartement 1 chambre excellent état, premier étage, Al-Esch, Esch-sur-Alzette",1050.0,Appartement,1.0,42.0,,1
47,"Appartement 2 chambres neuf, premier étage, Bascharage, Käerjeng","€ 1,600/mois",Käerjeng,https://www.immotop.lu/annonces/486741/,COLLINI WELTER Immobilière S.à.r.l.,"Appartement 2 chambres neuf, premier étage, Bascharage, Käerjeng",1600.0,Appartement,2.0,75.0,1.0,1
48,"Villa indépendante 300 m², Diekirch, Diekirch","€ 2,600/mois",Diekirch,https://www.immotop.lu/annonces/395589/,Immobilière Paul Reinig,"Villa indépendante 300 m², Diekirch, Diekirch",2600.0,Villa indépendante,3.0,300.0,2.0,
49,"Appartement 2 chambres neuf, deuxième étage, Mamer, Mamer","€ 2,200/mois",Mamer,https://www.immotop.lu/annonces/486887/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Mamer, Mamer",2200.0,Appartement,2.0,90.0,1.0,2
50,"Appartement 4 chambres excellent état, deuxième étage, Ville Haute, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/486285/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Ville Haute, Luxembourg",4100.0,Appartement,4.0,150.0,2.0,2
51,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal","€ 1,450/mois",Kopstal,https://www.immotop.lu/annonces/445121/,New Immo,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal",1450.0,Appartement,1.0,75.0,1.0,2
52,"Maison individuelle 303 m², neuve, Belair, Luxembourg","€ 5,600/mois",Luxembourg,https://www.immotop.lu/annonces/497747/,New Immo,"Maison individuelle 303 m², neuve, Belair, Luxembourg",5600.0,Maison individuelle,4.0,303.0,3.0,
53,"Appartement 1 chambre neuf, premier étage, Kirchberg, Luxembourg","€ 2,100/mois",Luxembourg,https://www.immotop.lu/annonces/371135/,New Immo,"Appartement 1 chambre neuf, premier étage, Kirchberg, Luxembourg",2100.0,Appartement,1.0,54.0,,1
54,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371129/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",3100.0,Appartement,2.0,91.0,,1
55,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371137/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",3100.0,Appartement,2.0,86.0,,1
56,"Penthouse neuf, 133 m², Kirchberg, Luxembourg","€ 4,250/mois",Luxembourg,https://www.immotop.lu/annonces/371141/,New Immo,"Penthouse neuf, 133 m², Kirchberg, Luxembourg",4250.0,Penthouse,3.0,133.0,,3
57,"Appartement 1 chambre deuxième étage, Roeser, Roeser","€ 1,650/mois",Roeser,https://www.immotop.lu/annonces/444379/,New Immo,"Appartement 1 chambre deuxième étage, Roeser, Roeser",1650.0,Appartement,1.0,70.0,1.0,2
58,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,200/mois",Luxembourg,https://www.immotop.lu/annonces/371115/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3200.0,Appartement,2.0,94.0,,T
59,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,https://www.immotop.lu/annonces/371121/,New Immo,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3400.0,Appartement,3.0,99.0,,2
60,"Penthouse neuf, 121 m², Kirchberg, Luxembourg","€ 3,950/mois",Luxembourg,https://www.immotop.lu/annonces/371113/,New Immo,"Penthouse neuf, 121 m², Kirchberg, Luxembourg",3950.0,Penthouse,3.0,121.0,,3
61,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/371131/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",2950.0,Appartement,2.0,81.0,,1
62,"Appartement 1 chambre neuf, deuxième étage, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/371109/,New Immo,"Appartement 1 chambre neuf, deuxième étage, Kirchberg, Luxembourg",2150.0,Appartement,1.0,54.0,,2
63,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/488651/,New Immo,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg",2150.0,Appartement,1.0,71.0,,1
64,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,https://www.immotop.lu/annonces/371125/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3000.0,Appartement,2.0,81.0,,T
65,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371111/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3100.0,Appartement,2.0,88.0,,2
66,"Appartement 1 chambre neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 2,200/mois",Luxembourg,https://www.immotop.lu/annonces/371133/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Kirchberg, Luxembourg",2200.0,Appartement,1.0,55.0,,T
67,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,https://www.immotop.lu/annonces/371123/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3000.0,Appartement,2.0,81.0,,2
68,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,350/mois",Luxembourg,https://www.immotop.lu/annonces/424267/,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg",2350.0,Appartement,1.0,62.0,1.0,1
69,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/404157/,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg",2950.0,Appartement,1.0,89.0,1.0,1
70,"Appartement 2 chambres troisième étage, Ville Haute, Luxembourg","€ 2,250/mois",Luxembourg,https://www.immotop.lu/annonces/486881/,New Immo,"Appartement 2 chambres troisième étage, Ville Haute, Luxembourg",2250.0,Appartement,2.0,75.0,1.0,3
71,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven","€ 3,800/mois",Niederanven,https://www.immotop.lu/annonces/203367/,New Immo,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven",3800.0,Appartement,3.0,166.0,3.0,1
72,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,https://www.immotop.lu/annonces/371139/,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3400.0,Appartement,3.0,94.0,,T
73,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/404153/,New Immo,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg",2950.0,Appartement,2.0,92.0,1.0,1
74,"Appartement 2 chambres premier étage, Bertrange, Bertrange","€ 1,800/mois",Bertrange,https://www.immotop.lu/annonces/454711/,New Immo,"Appartement 2 chambres premier étage, Bertrange, Bertrange",1800.0,Appartement,2.0,99.0,1.0,1
75,"Appartement 2 chambres neuf, cinquième étage, Belval, Esch-sur-Alzette","€ 1,700/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/494197/,New Immo,"Appartement 2 chambres neuf, cinquième étage, Belval, Esch-sur-Alzette",1700.0,Appartement,2.0,69.0,,5
76,"Maison individuelle 200 m², Hesperange, Howald, Hesperange","€ 3,600/mois",Hesperange,https://www.immotop.lu/annonces/181077/,Immobelle,"Maison individuelle 200 m², Hesperange, Howald, Hesperange",3600.0,Maison individuelle,4.0,200.0,1.0,
77,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg","€ 1,500/mois",Luxembourg,https://www.immotop.lu/annonces/496723/,ACE IMMO,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg",1500.0,Appartement,2.0,88.0,1.0,2
78,"Maison individuelle rue des Jardins, Clemency, Käerjeng","€ 2,300/mois",Käerjeng,https://www.immotop.lu/annonces/470149/,LOGILUX Immobilier SARL,"Maison individuelle rue des Jardins, Clemency, Käerjeng",2300.0,Maison individuelle,3.0,180.0,1.0,
79,"Appartement 1 chambre Rte d'Arlon, Belair, Luxembourg","€ 1,900/mois",Luxembourg,https://www.immotop.lu/annonces/471829/,Agence ImmoFlash Luxembourg,"Appartement 1 chambre Rte d'Arlon, Belair, Luxembourg",1900.0,Appartement,1.0,68.0,1.0,2
80,"Penthouse 235 m² avec terrasse, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/364277/,Castel Immobilier,"Penthouse 235 m² avec terrasse, Ville Haute, Luxembourg",4500.0,Penthouse,4.0,235.0,1.0,3
81,"Appartement 3 chambres quatrième étage, Strassen, Strassen","€ 2,500/mois",Strassen,https://www.immotop.lu/annonces/474909/,Castel Immobilier,"Appartement 3 chambres quatrième étage, Strassen, Strassen",2500.0,Appartement,3.0,113.0,,4
82,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange","€ 2,000/mois",Hesperange,https://www.immotop.lu/annonces/486817/,Move In Immobilier Sarl,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange",2000.0,Appartement,2.0,89.0,,1
83,"Appartement 2 chambres Avenue des Alliés, Ettelbrück, Ettelbruck","€ 1,300/mois",Ettelbruck,https://www.immotop.lu/annonces/497399/,Home Project,"Appartement 2 chambres Avenue des Alliés, Ettelbrück, Ettelbruck",1300.0,Appartement,2.0,89.0,1.0,4
84,"Appartement 3 chambres deuxième étage, Gasperich, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/461947/,Engel & Völkers Luxembourg,"Appartement 3 chambres deuxième étage, Gasperich, Luxembourg",2950.0,Appartement,3.0,90.0,2.0,2
85,"Appartement 2 chambres troisième étage, Merl, Luxembourg","€ 2,500/mois",Luxembourg,https://www.immotop.lu/annonces/497351/,D2 Immo,"Appartement 2 chambres troisième étage, Merl, Luxembourg",2500.0,Appartement,2.0,93.0,1.0,3
86,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg","€ 1,700/mois",Luxembourg,https://www.immotop.lu/annonces/60071/,L'Agence,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg",1700.0,Appartement,1.0,58.0,2.0,T
87,"Duplex à louer, Limpertsberg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/349419/,L'Agence,"Duplex à louer, Limpertsberg",2800.0,Duplex,2.0,105.0,2.0,
88,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/458097/,LA immo Sàrl,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg",2150.0,Appartement,2.0,95.0,1.0,T
89,"Appartement 2 chambres rue de Rolling, Erpeldange, Bous","€ 1,400/mois",Bous,https://www.immotop.lu/annonces/426553/,Schiltz Immo,"Appartement 2 chambres rue de Rolling, Erpeldange, Bous",1400.0,Appartement,2.0,87.0,1.0,1
90,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,200/mois",Differdange,https://www.immotop.lu/annonces/155655/,Venice Consulting SA,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange",2200.0,Maison jumelée / mitoyenne,3.0,120.0,2.0,
91,"Maison individuelle 200 m², excellent état, Bridel, Kopstal","€ 3,850/mois",Kopstal,https://www.immotop.lu/annonces/436439/,EVA IMMO S.A,"Maison individuelle 200 m², excellent état, Bridel, Kopstal",3850.0,Maison individuelle,4.0,200.0,2.0,
92,"Appartement premier étage, Roeser, Roeser","€ 1,700/mois",Roeser,https://www.immotop.lu/annonces/456757/,FIORE IMMO,"Appartement premier étage, Roeser, Roeser",1700.0,Appartement,,77.0,,1
93,"Appartement premier étage, Bivange, Kockelscheuer, Roeser","€ 1,700/mois",Roeser,https://www.immotop.lu/annonces/456759/,FIORE IMMO,"Appartement premier étage, Bivange, Kockelscheuer, Roeser",1700.0,Appartement,,77.0,,1
94,"Appartement 2 chambres 6 rue d'Ethe, Gasperich, Luxembourg","€ 2,550/mois",Luxembourg,https://www.immotop.lu/annonces/486727/,SG IMMOBILIER - STEPHANIE GILMER,"Appartement 2 chambres 6 rue d'Ethe, Gasperich, Luxembourg",2550.0,Appartement,2.0,88.0,1.0,2
95,"Duplex à louer, Limpertsberg","€ 6,000/mois",Luxembourg,https://www.immotop.lu/annonces/13503/,MKA Malou KNAFF Sàrl,"Duplex à louer, Limpertsberg",6000.0,Duplex,4.0,250.0,3.0,
96,"Maison individuelle, excellent état, Bertrange, Bertrange","€ 3,500/mois",Bertrange,https://www.immotop.lu/annonces/444929/,COLLINI WELTER Immobilière S.à.r.l.,"Maison individuelle, excellent état, Bertrange, Bertrange",3500.0,Maison individuelle,5.0,,1.0,
97,"Maison individuelle 130 m², Al-Esch, Esch-sur-Alzette","€ 2,000/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/456985/,COLLINI WELTER Immobilière S.à.r.l.,"Maison individuelle 130 m², Al-Esch, Esch-sur-Alzette",2000.0,Maison individuelle,3.0,130.0,,
98,"Studio à louer, Kirchberg","€ 2,700/mois",Luxembourg,https://www.immotop.lu/annonces/491077/,Immostep sarl,"Studio à louer, Kirchberg",2700.0,Studio,,40.0,,
99,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/491081/,Immostep sarl,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg",2300.0,Appartement,2.0,89.0,1.0,T
