,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess","€ 2,500/mois",Reckange-sur-Mess,https://www.immotop.lu/annonces/499227/,N real estate,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess","€ 2,500/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '180\n m²', 'salles de bain': '3'}"
1,"Loft rez-de-chaussée, Bonnevoie-Verlorenkost, Luxembourg","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/497749/,MKM Consult,"Loft rez-de-chaussée, Bonnevoie-Verlorenkost, Luxembourg","€ 1,550/mois",Loft,"{'superficie': '45\n m²', 'étage': 'T'}"
2,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/83517/,Properties of Luxembourg,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg","€ 2,300/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'salle de bain': '1', 'étage': '2'}"
3,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '200\n m²'}"
4,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Mersch,https://www.immotop.lu/annonces/341755/,NEY Immobilière,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Appartement,"{'chambres/pièces': '2', 'salle de bain': '1', 'étage': '1'}"
5,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 2,890/mois",Luxembourg,https://www.immotop.lu/annonces/494439/,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 2,890/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salles de bain': '2', 'étage': '1'}"
6,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/488767/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 4,100/mois",Appartement,"{'chambres/pièces': '4', 'superficie': '150\n m²', 'salles de bain': '2', 'étage': '2'}"
7,"Appartement 3 chambres 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/333019/,CDBgest S.à r.l.,"Appartement 3 chambres 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '146\n m²', 'salles de bain': '2', 'étage': '4'}"
8,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/293219/,CDBgest S.à r.l.,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '146\n m²', 'salles de bain': '2', 'étage': '5'}"
9,"Maison individuelle 183 m², Ville Haute, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/395091/,Abby Toussaint,"Maison individuelle 183 m², Ville Haute, Luxembourg","€ 2,800/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '183\n m²', 'salle de bain': '1'}"
10,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Mertert,https://www.immotop.lu/annonces/469719/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '118\n m²', 'salle de bain': '1', 'étage': '3'}"
11,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,750/mois",Junglinster,https://www.immotop.lu/annonces/434607/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,750/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '170\n m²'}"
12,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Luxembourg,https://www.immotop.lu/annonces/465209/,iHome S.à r.l.,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '3'}"
13,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,https://www.immotop.lu/annonces/325739/,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Fermette,"{'chambres/pièces': '4', 'superficie': '180\n m²', 'salle de bain': '1'}"
14,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute","€ 1,750/mois",Duplex,{}
15,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/166243/,Prestige Immobilier sàrl,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '90\n m²', 'étage': '3'}"
16,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/457943/,Gutplus SARL,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '76\n m²', 'salle de bain': '1', 'étage': '2'}"
17,"Studio à louer, Belval","€ 1,050/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/489773/,Gutplus SARL,"Studio à louer, Belval","€ 1,050/mois",Studio,"{'superficie': '44\n m²', 'salle de bain': '1'}"
18,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Dippach,https://www.immotop.lu/annonces/257617/,Agence Immobilière MARAMAX s.à r.l.,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '198\n m²', 'salles de bain': '2'}"
