,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63659/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 890,572",Appartement,"{'chambres/pièces': '2', 'superficie': '81\n m²', 'salle de bain': '1', 'étage': '1'}"
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/155649/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 1,260,043",Appartement,"{'chambres/pièces': '2', 'superficie': '75\n m²', 'salle de bain': '1', 'étage': 'T'}"
2,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63641/,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange","€ 2,886,577",Penthouse,"{'chambres/pièces': '3', 'superficie': '174\n m²', 'salles de bain': '2', 'étage': '3'}"
3,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Dalheim,https://www.immotop.lu/annonces/486923/,IMMODUN SARL,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Appartement,"{'chambres/pièces': '4', 'superficie': '137\n m²', 'salles de bain': '2', 'étage': '1'}"
4,"Duplex à vendre, Bridel","€ 1,500,000",Kopstal,https://www.immotop.lu/annonces/396805/,Colliers Luxembourg,"Duplex à vendre, Bridel","€ 1,500,000",Duplex,"{'superficie': '167\n m²', 'salles de bain': '3'}"
5,"Duplex à vendre, Dalheim","€ 910,000",Dalheim,https://www.immotop.lu/annonces/323925/,IMMODUN SARL,"Duplex à vendre, Dalheim","€ 910,000",Duplex,"{'chambres/pièces': '3', 'superficie': '129\n m²', 'salles de bain': '2'}"
6,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '100\n m²', 'salle de bain': '1'}"
7,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Beaufort,https://www.immotop.lu/annonces/474291/,Ultimo Immo,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Appartement,"{'chambres/pièces': '2', 'superficie': '99\n m²', 'salle de bain': '1', 'étage': 'T'}"
8,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Bertrange,https://www.immotop.lu/annonces/323949/,Barnes Luxembourg,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Villa indépendante,"{'chambres/pièces': '5', 'superficie': '700\n m²', 'salles de bain': '3+'}"
9,"Duplex à vendre, Holzem","€ 1,282,357",Mamer,https://www.immotop.lu/annonces/433111/,Groupe IRIS Immobilier,"Duplex à vendre, Holzem","€ 1,282,357",Duplex,"{'chambres/pièces': '3', 'superficie': '119\n m²', 'salles de bain': '2'}"
10,Appartements et Penthouses dans programme neuf à Steinfort,"€ 431,948 - € 1,250,000",Steinfort,https://www.immotop.lu/annonces/500569/159983/,VIP Promotions s.a.,Bureau - Cabinet en Vente,"€ 431,948",Bureau - Cabinet,"{'superficie': '57\n m²', 'étage': 'T'}"
11,Appartements et Penthouses dans programme neuf à Steinfort,"€ 431,948 - € 1,250,000",Steinfort,https://www.immotop.lu/annonces/500569/159985/,VIP Promotions s.a.,"Appartement 2 chambres 60, rue de Luxembourg, Cap, Hagen, Steinfort","€ 850,000",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'salle de bain': '1', 'étage': '1'}"
12,Appartements et Penthouses dans programme neuf à Steinfort,"€ 431,948 - € 1,250,000",Steinfort,https://www.immotop.lu/annonces/500569/159987/,VIP Promotions s.a.,"Appartement 2 chambres 60, rue de Luxembourg, Cap, Hagen, Steinfort","€ 1,150,000",Appartement,"{'chambres/pièces': '2', 'superficie': '85\n m²', 'salle de bain': '1', 'étage': 'T'}"
13,Appartements et Penthouses dans programme neuf à Steinfort,"€ 431,948 - € 1,250,000",Steinfort,https://www.immotop.lu/annonces/500569/159989/,VIP Promotions s.a.,"Penthouse 60, rue de Luxembourg, Cap, Hagen, Steinfort","€ 1,250,000",Penthouse,"{'chambres/pièces': '3', 'superficie': '125\n m²', 'salles de bain': '2', 'étage': '2'}"
14,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125125/,Immo Brown,"Appartement 2 chambres neuf, rez-de-chaussée, Mamer, Mamer","€ 882,136",Appartement,"{'chambres/pièces': '2', 'superficie': '74\n m²', 'étage': 'T'}"
15,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125127/,Immo Brown,"Appartement 2 chambres neuf, rez-de-chaussée, Mamer, Mamer","€ 998,087",Appartement,"{'chambres/pièces': '2', 'superficie': '83\n m²', 'étage': 'T'}"
16,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125129/,Immo Brown,"Appartement 2 chambres neuf, rez-de-chaussée, Mamer, Mamer","€ 1,093,899",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'étage': 'T'}"
17,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125131/,Immo Brown,"Penthouse neuf, 83 m², Mamer, Mamer","€ 1,098,689",Penthouse,"{'chambres/pièces': '2', 'superficie': '83\n m²', 'étage': 'T'}"
18,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125133/,Immo Brown,"Penthouse neuf, 98 m², Mamer, Mamer","€ 1,246,174",Penthouse,"{'chambres/pièces': '2', 'superficie': '98\n m²', 'étage': 'T'}"
19,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125135/,Immo Brown,"Appartement 3 chambres neuf, rez-de-chaussée, Mamer, Mamer","€ 1,380,170",Appartement,"{'chambres/pièces': '3', 'superficie': '131\n m²', 'étage': 'T'}"
20,Appartements et Penthouses dans programme neuf à Mamer,"€ 882,136 - € 1,425,692",Mamer,https://www.immotop.lu/annonces/371175/125137/,Immo Brown,"Appartement 3 chambres neuf, rez-de-chaussée, Mamer, Mamer","€ 1,425,692",Appartement,"{'chambres/pièces': '3', 'superficie': '134\n m²', 'étage': 'T'}"
21,Appartements et Magasins - locaux commerciaux dans programme neuf à Mersch,"€ 516,561 - € 955,385",Mersch,https://www.immotop.lu/annonces/464261/149525/,Calteux S.àr.l. Société Immobilière,Local commercial en Vente,"€ 516,561",Local commercial,"{'superficie': '70\n m²', 'étage': 'T'}"
22,Appartements et Magasins - locaux commerciaux dans programme neuf à Mersch,"€ 516,561 - € 955,385",Mersch,https://www.immotop.lu/annonces/464261/149529/,Calteux S.àr.l. Société Immobilière,Local commercial en Vente,"€ 538,707",Local commercial,"{'superficie': '68\n m²', 'étage': 'T'}"
