,property,prop_type,price,location,proj_link,link,agency,Availability,Livable surface,Lift,Number of bedrooms,Renovation year,Living room,Fitted kitchen,Separate kitchen,Shower rooms,Terrace,Garden,Closed parking space,Basement,Laundry,Energy class,Thermal insulation class,Property's floor,Shower room,Restroom,Bathroom,Balcony,Gas heating,Solar panels,Open kitchen,Bathooms,Open parking space,Land,Pump heating,Year of construction,Number of rooms,Acces for mobility-impared people,Monthly charges,Pets accepted,Renovated,Fireplace,Fuel heating,Attic,Parquet,Wine cellar,Swimming pool,Convertible attic,Converted attic,Sauna,Geothermal heating,Electric heating,Social housing,Total floors,Indoor parking space(s),Rent,Security deposit,Furnished,Type of mandate,Life annuity sale,Assisted living facilities,status
7610,Apartment 3 bedrooms in Luxembourg-Belair,Apartment,1909188 ,Luxembourg-Belair,https://www.athome.lu/en/buy/apartment/luxembourg/id-7255291.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-7255291.html,INOWAI Residential S.A. ,Mi-2024,140.06,,3,2015,Yes,Yes,Yes,,,,1,Yes,,A,A,1,1,1,1,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7613,Apartment 2 bedrooms in Luxembourg-Belair,Apartment,1251841 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877160.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877160.html,INOWAI Residential S.A. ,,80.58,,2,2015,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7614,Apartment 2 bedrooms in Luxembourg-Belair,Apartment,1548463 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877143.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877143.html,INOWAI Residential S.A. ,,97.52,,2,2020,,,,,,,,,,NC,NC,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7615,Apartment 2 bedrooms in Luxembourg-Belair,Apartment,1696774 ,Luxembourg-Centre ville,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877144.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6877144.html,INOWAI Residential S.A. ,,104.95,,2,2021,,,,,,,,,,NC,NC,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7616,Apartment 1 bedroom in Luxembourg-Limpertsberg,Apartment,1393050 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885720.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885720.html,INOWAI Residential S.A. ,Fin 2023,71.97,,1,2022,Yes,,,,28 m²,,,,,A,A,6,1,1,1,6 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7617,Apartment in Luxembourg-Limpertsberg,Apartment,608294 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885716.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885716.html,INOWAI Residential S.A. ,Fin 2023,33.87,,,,Yes,Yes,Yes,,,,,,,A,A,6,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7618,Apartment in Luxembourg-Limpertsberg,Apartment,616522 ,Luxembourg-Limpertsberg,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885709.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885709.html,INOWAI Residential S.A. ,Fin 2023,35.1,,,,Yes,Yes,Yes,,,,,,,A,A,5,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7619,Apartment in Luxembourg-Centre ville,Apartment,613200 ,Luxembourg-Belair,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885790.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885790.html,INOWAI Residential S.A. ,Fin 2023,35.53,,,,Yes,Yes,Yes,,7 m²,,,,,A,A,3,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7620,Apartment in Luxembourg-Limpertsberg,Apartment,627304 ,Luxembourg-Belair,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885717.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885717.html,INOWAI Residential S.A. ,Fin 2023,35.53,,,,Yes,Yes,Yes,,,,,,,A,A,6,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7621,Apartment in Luxembourg-Limpertsberg,Apartment,614631 ,Hesperange,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885806.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-6885806.html,INOWAI Residential S.A. ,Fin 2023,35.53,,,2015,Yes,Yes,Yes,,,,,,,A,A,4,1,1,1,7 m²,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
