,property,prop_type,price,location,proj_link,link,agency,Availability,Livable surface,Lift,Number of bedrooms,Renovation year,Living room,Fitted kitchen,Separate kitchen,Shower rooms,Terrace,Garden,Closed parking space,Basement,Laundry,Energy class,Thermal insulation class,Property's floor,Shower room,Restroom,Bathroom,Balcony,Gas heating,Solar panels,Open kitchen,Bathooms,Open parking space,Land,Pump heating,Year of construction,Number of rooms,Acces for mobility-impared people,Monthly charges,Pets accepted,Renovated,Fireplace,Fuel heating,Attic,Parquet,Wine cellar,Swimming pool,Convertible attic,Converted attic,Sauna,Geothermal heating,Electric heating,Social housing,Total floors,Indoor parking space(s),Rent,Security deposit,Furnished,Type of mandate,Life annuity sale,Assisted living facilities,status
0,Apartment 2 bedrooms in Oberkorn,Apartment,888535 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688327.html,AFIL IMMO S.A.,01/12/2024,102.39,Yes,2,2019,Yes,Yes,Yes,2,20 m²,37 m²,2,Yes,Yes,A,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
1,Apartment 2 bedrooms in Oberkorn,Apartment,893736 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688329.html,AFIL IMMO S.A.,01/12/2024,99.2,Yes,2,2020,Yes,Yes,Yes,2,20 m²,42 m²,2,Yes,Yes,A,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
2,Apartment 1 bedroom in Oberkorn,Apartment,555638 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688334.html,AFIL IMMO S.A.,01/12/2024,48.48,Yes,1,2019,Yes,Yes,Yes,,,38 m²,1,,Yes,A,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
3,Retail in Oberkorn,Retail,179384 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/commercial-property/oberkorn/id-7688330.html,AFIL IMMO S.A.,01/12/2024,16.04,,,2020,,,,,,,1,,,A,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
4,Apartment 1 bedroom in Oberkorn,Apartment,581196 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688332.html,AFIL IMMO S.A.,01/12/2024,58.53,,1,2020,Yes,Yes,Yes,,,,1,Yes,,A,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
5,Apartment 2 bedrooms in Oberkorn,Apartment,919443 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688335.html,AFIL IMMO S.A.,01/12/2024,97.5,Yes,2,2019,Yes,Yes,Yes,2,27.15 m²,32 m²,2,Yes,Yes,A,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
6,Apartment 2 bedrooms in Oberkorn,Apartment,756911 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688331.html,AFIL IMMO S.A.,01/12/2024,81.8,,2,2020,Yes,Yes,Yes,2,,,2,Yes,,A,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7,Flat in Oberkorn,Flat,469354 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688333.html,AFIL IMMO S.A.,01/12/2024,34.64,Yes,,2017,Yes,Yes,Yes,,4.91 m²,27 m²,1,Yes,Yes,A,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
8,Apartment 2 bedrooms in Oberkorn,Apartment,824831 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688341.html,AFIL IMMO S.A.,01/12/2024,97.5,Yes,2,2017,Yes,Yes,Yes,2,,24 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
9,Apartment 2 bedrooms in Oberkorn,Apartment,725965 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688342.html,AFIL IMMO S.A.,01/12/2024,79.26,Yes,2,2020,Yes,Yes,Yes,2,,24 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
10,Apartment 2 bedrooms in Oberkorn,Apartment,843373 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688338.html,AFIL IMMO S.A.,01/12/2024,95.49,Yes,2,2020,Yes,Yes,Yes,2,4.91 m²,33 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
11,Apartment 2 bedrooms in Oberkorn,Apartment,733742 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688348.html,AFIL IMMO S.A.,01/12/2024,79.71,,2,2020,Yes,Yes,Yes,,4.89 m²,24 m²,2,Yes,,A,A,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
12,Apartment 2 bedrooms in Oberkorn,Apartment,805513 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688336.html,AFIL IMMO S.A.,01/12/2024,79.26,Yes,2,2020,Yes,Yes,Yes,2,27.73 m²,41 m²,2,Yes,Yes,A,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
13,Apartment 1 bedroom in Oberkorn,Apartment,558019 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688339.html,AFIL IMMO S.A.,01/12/2024,48.48,Yes,1,2017,Yes,Yes,Yes,,,23 m²,1,Yes,Yes,A,A,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
14,Apartment 2 bedrooms in Oberkorn,Apartment,743847 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688337.html,AFIL IMMO S.A.,01/12/2024,81.8,Yes,2,2019,Yes,Yes,Yes,2,,33 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
15,Flat in Oberkorn,Flat,487107 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688346.html,AFIL IMMO S.A.,,42.47,Yes,,2020,Yes,Yes,Yes,,20 m²,17 m²,1,Yes,Yes,A,A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
16,Penthouse 4 bedrooms in Oberkorn,Penthouse,1220188 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688344.html,AFIL IMMO S.A.,01/12/2024,154.87,Yes,4,2020,Yes,Yes,Yes,2,45.35 m²,,2,,Yes,A,NC,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
17,Apartment 1 bedroom in Oberkorn,Apartment,624725 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688347.html,AFIL IMMO S.A.,01/12/2024,66.69,,1,2019,Yes,Yes,Yes,,,,2,Yes,,A,A,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
18,Penthouse 3 bedrooms in Oberkorn,Penthouse,1256248 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688345.html,AFIL IMMO S.A.,01/12/2024,138.76,Yes,3,2020,Yes,Yes,Yes,2,76.44 m²,,2,Yes,Yes,A,NC,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
19,Apartment 1 bedroom in Luxembourg-Weimerskirch,Apartment,749950 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685428.html,Pierre et Nature Luxembourg ,,81.0,Yes,1,2019,,,,,,,,,,A,B,1,,,,10 m²,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
20,Apartment 1 bedroom in Luxembourg-Weimerskirch,Apartment,499500 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685430.html,Pierre et Nature Luxembourg ,,38.0,Yes,1,2020,,,,,,,,,,A,B,1,,,,6 m²,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
21,Apartment 2 bedrooms in Luxembourg-Weimerskirch,Apartment,859950 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685431.html,Pierre et Nature Luxembourg ,,87.0,Yes,2,2020,,,,,13 m²,,,,,A,B,1,,,,7 m²,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
22,Apartment 3 bedrooms in Luxembourg-Weimerskirch,Apartment,1449500 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685435.html,Pierre et Nature Luxembourg ,,123.0,Yes,3,2020,,,,,36 m²,,,,,A,B,3,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
23,Apartment 3 bedrooms in Luxembourg-Weimerskirch,Apartment,1199950 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685432.html,Pierre et Nature Luxembourg ,,134.0,Yes,3,2020,,,,,24 m²,,,,,A,B,2,,,,6 m²,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
24,Apartment 3 bedrooms in Luxembourg-Weimerskirch,Apartment,1259950 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685433.html,Pierre et Nature Luxembourg ,,136.0,Yes,3,2020,,,,,38 m²,,,,,A,B,2,,,,9 m²,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
25,Apartment 3 bedrooms in Luxembourg-Weimerskirch,Apartment,1449500 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685434.html,Pierre et Nature Luxembourg ,,125.0,Yes,3,2020,,,,,21 m²,,,,,A,B,3,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
26,Apartment 1 bedroom in Luxembourg-Weimerskirch,Apartment,499500 ,Luxembourg-Weimerskirch,https://www.athome.lu/en/buy/new-property/apartment-block/luxembourg/id-7685427.html,http://athome.lu/en/buy/apartment/luxembourg/id-7685429.html,Pierre et Nature Luxembourg ,,38.0,Yes,1,2017,,,,,,,,,,A,B,1,,,,6 m²,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
27,Flat in Luxembourg-Gasperich,Flat,567500 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7372942.html,IMPAKT Real Estate ,,36.48,,,2020,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
28,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,865000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7309693.html,IMPAKT Real Estate ,,63.84,,2,2020,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
29,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,865000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331622.html,IMPAKT Real Estate ,,63.84,,2,2020,,,,,,,,,,NC,NC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
30,Flat in Luxembourg-Gasperich,Flat,567500 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7372946.html,IMPAKT Real Estate ,,36.48,,,2020,,,,,,,,,,NC,NC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
31,Apartment in Luxembourg-Gasperich,Apartment,1142464 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331629.html,IMPAKT Real Estate ,,70.92,,,2019,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
32,Apartment 3 bedrooms in Luxembourg-Gasperich,Apartment,1260000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331627.html,IMPAKT Real Estate ,,95.23,,3,2020,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
33,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,870000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331626.html,IMPAKT Real Estate ,,63.84,,2,2017,,,,,,,,,,NC,NC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
34,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,880000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331630.html,IMPAKT Real Estate ,,63.84,,2,2019,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
35,Apartment 3 bedrooms in Luxembourg-Gasperich,Apartment,1260000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331631.html,IMPAKT Real Estate ,,95.23,,3,2017,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
36,Apartment in Luxembourg-Gasperich,Apartment,985000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331633.html,IMPAKT Real Estate ,,70.92,,,2022,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
37,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,870000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331634.html,IMPAKT Real Estate ,,63.84,,2,2017,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
38,Penthouse 3 bedrooms in Luxembourg-Gasperich,Penthouse,1620375 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/thales-luxembourg/id-7309667.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331635.html,IMPAKT Real Estate ,,102.44,,3,2019,,,,,,,,,,NC,NC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
39,Flat in Luxembourg-Gasperich,Flat,384871 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7739168.html,IMPAKT Real Estate ,2024,28.0,Yes,,2022,,,,,,,1,,,A,NC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
40,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,840000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331143.html,IMPAKT Real Estate ,,64.06,,2,2020,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
41,Flat in Luxembourg-Gasperich,Flat,385159 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7737347.html,IMPAKT Real Estate ,,27.89,,,2019,,,,,,,,,,NC,NC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
42,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,995000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331147.html,IMPAKT Real Estate ,,75.46,,2,2017,,,,,,,,,,NC,NC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
43,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,850000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331150.html,IMPAKT Real Estate ,,64.06,,2,2019,,,,,,,,,,NC,NC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
44,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,845778 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331146.html,IMPAKT Real Estate ,,64.06,,2,2017,,,,,,,,,,NC,NC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
45,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,995000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331151.html,IMPAKT Real Estate ,,75.46,,2,2020,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
46,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,997500 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331149.html,IMPAKT Real Estate ,,75.46,,2,2017,,,,,,,,,,NC,NC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
47,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,995000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331154.html,IMPAKT Real Estate ,,75.46,,2,2020,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
48,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,997500 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331155.html,IMPAKT Real Estate ,,75.46,,2,2022,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
49,Penthouse 2 bedrooms in Luxembourg-Gasperich,Penthouse,1230000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331158.html,IMPAKT Real Estate ,,82.2,,2,2020,,,,,,,,,,NC,NC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
50,Penthouse 3 bedrooms in Luxembourg-Gasperich,Penthouse,1600000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331157.html,IMPAKT Real Estate ,,106.02,,3,2020,,,,,,,,,,NC,NC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
51,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,600000 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331142.html,IMPAKT Real Estate ,,39.97,,1,2022,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
52,Apartment 2 bedrooms in Luxembourg-Gasperich,Apartment,997500 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/d-alembert-luxembourg/id-7309668.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331152.html,IMPAKT Real Estate ,,75.46,,2,2022,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
53,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,807778 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7309696.html,IMPAKT Real Estate ,,55.98,,1,2017,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
54,Apartment 3 bedrooms in Luxembourg-Gasperich,Apartment,1293675 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331706.html,IMPAKT Real Estate ,,94.79,,3,2020,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
55,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,789074 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331705.html,IMPAKT Real Estate ,,52.07,,1,2020,,,,,,,,,,NC,NC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
56,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,814377 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7309698.html,IMPAKT Real Estate ,,55.98,,1,2018,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
57,Penthouse 3 bedrooms in Luxembourg-Gasperich,Penthouse,1278990 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7309699.html,IMPAKT Real Estate ,,86.57,,3,2018,,,,,,,,,,NC,NC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
58,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,795655 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331707.html,IMPAKT Real Estate ,,52.07,,1,2020,,,,,,,,,,NC,NC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
59,Penthouse 2 bedrooms in Luxembourg-Centre ville,Penthouse,1552002 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331708.html,IMPAKT Real Estate ,,97.49,,2,2018,,,,,,,,,,NC,NC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
60,Apartment 1 bedroom in Luxembourg-Centre ville,Apartment,667771 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7331697.html,IMPAKT Real Estate ,,45.35,,1,2018,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
61,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,673609 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7309695.html,IMPAKT Real Estate ,,45.35,,1,2022,,,,,,,,,,NC,NC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
62,Apartment 1 bedroom in Luxembourg-Gasperich,Apartment,774184 ,Luxembourg-Gasperich,https://www.athome.lu/en/buy/new-property/apartment-block/hertz-luxembourg/id-7309669.html,http://athome.lu/en/buy/apartment/luxembourg/id-7309694.html,IMPAKT Real Estate ,,52.06,,1,2022,,,,,,,,,,NC,NC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
