,proj_link,location,collect_status
58,https://www.athome.lu/en/buy/apartment/aspelt/id-7648458.html,Aspelt,newly_added
59,https://www.athome.lu/en/buy/house/luxembourg/id-7661720.html,Luxembourg-Bonnevoie,newly_added
60,https://www.athome.lu/en/buy/house/kleinbettingen/id-7638798.html,Kleinbettingen,newly_added
61,https://www.athome.lu/en/buy/apartment/reckenthal/id-7730182.html,Reckenthal,newly_added
62,https://www.athome.lu/en/buy/house/dudelange/id-7729834.html,Dudelange,newly_added
63,https://www.athome.lu/en/buy/house/crauthem/id-7729157.html,Crauthem,newly_added
64,https://www.athome.lu/en/buy/apartment/strassen/id-7729050.html,Strassen,newly_added
65,https://www.athome.lu/en/buy/apartment/hesperange/id-7727231.html,Hesperange,newly_added
66,https://www.athome.lu/en/buy/apartment/luxembourg/id-7576434.html,Luxembourg-Belair,newly_added
67,https://www.athome.lu/en/buy/apartment/luxembourg/id-7691512.html,Luxembourg-Cessange,newly_added
68,https://www.athome.lu/en/buy/house/luxembourg/id-7687831.html,Luxembourg-Limpertsberg,newly_added
69,https://www.athome.lu/en/buy/apartment/schifflange/id-7601196.html,Schifflange,newly_added
70,https://www.athome.lu/en/buy/apartment/sanem/id-7701492.html,Sanem,newly_added
71,https://www.athome.lu/en/buy/house/mertzig/id-7686727.html,Mertzig,newly_added
72,https://www.athome.lu/en/buy/apartment/sanem/id-7701490.html,Sanem,newly_added
73,https://www.athome.lu/en/buy/apartment/luxembourg/id-7495519.html,Luxembourg-Gasperich,newly_added
74,https://www.athome.lu/en/buy/house/bertrange/id-7667527.html,Bertrange,newly_added
75,https://www.athome.lu/en/buy/house/kockelscheuer/id-7680743.html,Kockelscheuer,newly_added
76,https://www.athome.lu/en/buy/apartment/steinsel/id-7698023.html,Steinsel,newly_added
77,https://www.athome.lu/en/buy/house/steinfort/id-7663035.html,Steinfort,newly_added
78,https://www.athome.lu/en/buy/house/bettembourg/id-7716651.html,Bettembourg,newly_added
79,https://www.athome.lu/en/buy/house/esch-sur-alzette/id-7669069.html,Esch-sur-Alzette,newly_added
80,https://www.athome.lu/en/buy/house/dudelange/id-7715217.html,Dudelange,newly_added
81,https://www.athome.lu/en/buy/apartment/dudelange/id-7713749.html,Dudelange,newly_added
82,https://www.athome.lu/en/buy/apartment/steinsel/id-7713058.html,Steinsel,newly_added
83,https://www.athome.lu/en/buy/apartment/hesperange/id-7713050.html,Hesperange,newly_added
84,https://www.athome.lu/en/buy/apartment/sandweiler/id-7708600.html,Sandweiler,newly_added
85,https://www.athome.lu/en/buy/house/bergem/id-7698332.html,Bergem,newly_added
86,https://www.athome.lu/en/buy/house/niederfeulen/id-7671348.html,Niederfeulen,newly_added
87,https://www.athome.lu/en/buy/apartment/bertrange/id-7674965.html,Bertrange,newly_added
88,https://www.athome.lu/en/buy/apartment/bettembourg/id-7702803.html,Bettembourg,newly_added
89,https://www.athome.lu/en/buy/house/mertzig/id-7699338.html,Mertzig,newly_added
90,https://www.athome.lu/en/buy/apartment/kehlen/id-7691213.html,Kehlen,newly_added
91,https://www.athome.lu/en/buy/apartment/soleuvre/id-7687694.html,Soleuvre,newly_added
92,https://www.athome.lu/en/buy/apartment/bertrange/id-7667782.html,Bertrange,newly_added
93,https://www.athome.lu/en/buy/apartment/mondercange/id-7669853.html,Mondercange,newly_added
94,https://www.athome.lu/en/buy/house/walferdange/id-7565983.html,Walferdange,newly_added
95,https://www.athome.lu/en/buy/apartment/luxembourg/id-7619962.html,Luxembourg-Belair,newly_added
96,https://www.athome.lu/en/buy/apartment/esch-sur-alzette/id-7589417.html,Esch-sur-Alzette,newly_added
97,https://www.athome.lu/en/buy/apartment/capellen/id-7579013.html,Capellen,newly_added
98,https://www.athome.lu/en/buy/apartment/berchem/id-7575725.html,Berchem,newly_added
99,https://www.athome.lu/en/buy/apartment/luxembourg/id-7567284.html,Luxembourg-Neudorf,newly_added
100,https://www.athome.lu/en/buy/apartment/esch-sur-alzette/id-7547745.html,Esch-sur-Alzette,newly_added
101,https://www.athome.lu/en/buy/apartment/luxembourg/id-7433416.html,Luxembourg-Weimershof,newly_added
102,https://www.athome.lu/en/buy/apartment/mamer/id-7434510.html,Mamer,newly_added
103,https://www.athome.lu/en/buy/apartment/mamer/id-7434494.html,Mamer,newly_added
104,https://www.athome.lu/en/buy/apartment/luxembourg/id-7664358.html,Luxembourg-Cents,newly_added
105,https://www.athome.lu/en/buy/apartment/remich/id-7616521.html,Remich,newly_added
106,https://www.athome.lu/en/buy/apartment/bertrange/id-7708625.html,Bertrange,newly_added
107,https://www.athome.lu/en/buy/house/luxembourg/id-7715873.html,Luxembourg-Muhlenbach,newly_added
108,https://www.athome.lu/en/buy/apartment/luxembourg/id-7567075.html,Luxembourg-Centre ville,newly_added
109,https://www.athome.lu/en/buy/apartment/senningerberg/id-7474379.html,Senningerberg,newly_added
110,https://www.athome.lu/en/buy/house/luxembourg/id-7692946.html,Luxembourg-Dommeldange,newly_added
111,https://www.athome.lu/en/buy/apartment/dippach/id-7559261.html,Dippach,newly_added
112,https://www.athome.lu/en/buy/apartment/luxembourg/id-7661101.html,Luxembourg-Cessange,newly_added
113,https://www.athome.lu/en/buy/apartment/luxembourg/id-7346578.html,Luxembourg-Gasperich,newly_added
114,https://www.athome.lu/en/buy/house/bertrange/id-7345312.html,Bertrange,newly_added
115,https://www.athome.lu/en/buy/apartment/luxembourg/id-7193503.html,Luxembourg-Gasperich,newly_added
116,https://www.athome.lu/en/buy/apartment/bertrange/id-7372320.html,Bertrange,newly_added
117,https://www.athome.lu/en/buy/apartment/luxembourg/id-7348561.html,Luxembourg-Gasperich,newly_added
