,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,"Duplex à vendre, Bridel","€ 1,500,000",Kopstal,https://www.immotop.lu/annonces/396805/,Colliers Luxembourg,"Duplex à vendre, Bridel","€ 1,500,000",Duplex,"{'superficie': '167\n m²', 'salles de bain': '3'}"
1,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Dalheim,https://www.immotop.lu/annonces/486923/,IMMODUN SARL,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Appartement,"{'chambres/pièces': '4', 'superficie': '137\n m²', 'salles de bain': '2', 'étage': '1'}"
2,"Appartement 4 chambres premier étage, Dudelange, Dudelange","€ 1,190,000",Dudelange,https://www.immotop.lu/annonces/514401/,ImmoNovation,"Appartement 4 chambres premier étage, Dudelange, Dudelange","€ 1,190,000",Appartement,"{'chambres/pièces': '4', 'superficie': '170\n m²', 'salles de bain': '3', 'étage': '1'}"
3,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '100\n m²', 'salle de bain': '1'}"
4,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Beaufort,https://www.immotop.lu/annonces/474291/,Ultimo Immo,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Appartement,"{'chambres/pièces': '2', 'superficie': '99\n m²', 'salle de bain': '1', 'étage': 'T'}"
5,"Duplex à vendre, Dalheim","€ 910,000",Dalheim,https://www.immotop.lu/annonces/323925/,IMMODUN SARL,"Duplex à vendre, Dalheim","€ 910,000",Duplex,"{'chambres/pièces': '3', 'superficie': '129\n m²', 'salles de bain': '2'}"
6,"Duplex à vendre, Holzem","€ 1,282,357",Mamer,https://www.immotop.lu/annonces/433111/,Groupe IRIS Immobilier,"Duplex à vendre, Holzem","€ 1,282,357",Duplex,"{'chambres/pièces': '3', 'superficie': '119\n m²', 'salles de bain': '2'}"
7,Appartements et Appartements-studio dans programme neuf à Mondercange,"€ 470,000 - € 1,300,000",Mondercange,https://www.immotop.lu/annonces/511197/166159/,HD33,"Studio d'Esch, Pontpierre, Mondercange","€ 470,000",Studio,{'superficie': '40\n m²'}
8,Appartements et Appartements-studio dans programme neuf à Mondercange,"€ 470,000 - € 1,300,000",Mondercange,https://www.immotop.lu/annonces/511197/166161/,HD33,"Studio d'Esch, Pontpierre, Mondercange","€ 505,000",Studio,{'superficie': '45\n m²'}
9,Appartements et Appartements-studio dans programme neuf à Mondercange,"€ 470,000 - € 1,300,000",Mondercange,https://www.immotop.lu/annonces/511197/166163/,HD33,"Studio d'Esch, Pontpierre, Mondercange","€ 510,000",Studio,{'superficie': '45\n m²'}
