,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
26,"Appartement 2 chambres troisième étage, Pétange, Pétange","€ 1,800/mois",Pétange,https://www.immotop.lu/annonces/489057/,IMMO B2,"Appartement 2 chambres troisième étage, Pétange, Pétange","€ 1,800/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '99\n m²', 'salle de bain': '1', 'étage': '3'}"
27,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/370887/,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '93\n m²', 'salle de bain': '1', 'étage': '1'}"
28,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/463501/,Bureau Immobilier Léa Kappweiler s.àr.l.,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '3'}"
29,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois",Stadtbredimus,https://www.immotop.lu/annonces/421871/,Patrimonew Immobilière Sàrl,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '130\n m²', 'salle de bain': '1', 'étage': '1'}"
30,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/438539/,ISABELLA COLTAN REAL ESTATE,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '150\n m²', 'salles de bain': '3', 'étage': '6'}"
31,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois",Luxembourg,https://www.immotop.lu/annonces/165319/,IMMO FRANK,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '229\n m²', 'salle de bain': '1', 'étage': '9'}"
32,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois",Echternach,https://www.immotop.lu/annonces/37409/,Senior Hotel Echternach,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '43\n m²', 'salle de bain': '1', 'étage': 'T'}"
33,"Studio à louer, Kirchberg","€ 1,300/mois",Luxembourg,https://www.immotop.lu/annonces/496803/,ACE IMMO,"Studio à louer, Kirchberg","€ 1,300/mois",Studio,{'superficie': '49\n m²'}
34,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/514259/,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '205\n m²', 'salles de bain': '2'}"
35,"Appartement 2 chambres 72, Boulevard Prince Felix, Weimerskirch, Luxembourg","€ 2,650/mois",Luxembourg,https://www.immotop.lu/annonces/515719/,Park Agence,"Appartement 2 chambres 72, Boulevard Prince Felix, Weimerskirch, Luxembourg","€ 2,650/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '110\n m²', 'salles de bain': '2', 'étage': '1'}"
36,"Appartement 2 chambres troisième étage, Belair, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/515715/,RE/MAX IMMO EVOLUTION,"Appartement 2 chambres troisième étage, Belair, Luxembourg","€ 3,100/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '103\n m²', 'salle de bain': '1', 'étage': '3'}"
37,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/497785/,MKM Consult,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg","€ 2,000/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '82\n m²', 'salle de bain': '1', 'étage': '2'}"
38,"Duplex à louer, Cents","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/497711/,Immostep sarl,"Duplex à louer, Cents","€ 2,300/mois",Duplex,"{'chambres/pièces': '3', 'superficie': '140\n m²', 'salle de bain': '1'}"
39,"Penthouse 87 m² avec terrasse, Hollerich, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/497715/,Immostep sarl,"Penthouse 87 m² avec terrasse, Hollerich, Luxembourg","€ 2,600/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '87\n m²', 'étage': '7'}"
40,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/515265/,Immostep sarl,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg","€ 2,300/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '89\n m²', 'salle de bain': '1', 'étage': 'T'}"
41,"Appartement 1 chambre deuxième étage, Limpertsberg, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/515259/,Immostep sarl,"Appartement 1 chambre deuxième étage, Limpertsberg, Luxembourg","€ 2,000/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '67\n m²', 'étage': '2'}"
42,"Studio à louer, Kirchberg","€ 2,700/mois",Luxembourg,https://www.immotop.lu/annonces/515263/,Immostep sarl,"Studio à louer, Kirchberg","€ 2,700/mois",Studio,{'superficie': '40\n m²'}
43,"Appartement 1 chambre premier étage, Al-Esch, Esch-sur-Alzette",€ 950/mois,Esch-sur-Alzette,https://www.immotop.lu/annonces/504553/,Immo Losch S.àr.l,"Appartement 1 chambre premier étage, Al-Esch, Esch-sur-Alzette",€ 950/mois,Appartement,"{'chambre/pièce': '1', 'superficie': '42\n m²', 'étage': '1'}"
44,"Penthouse 320 m² avec terrasse, Kirchberg, Luxembourg","€ 8,000/mois",Luxembourg,https://www.immotop.lu/annonces/504109/,Barnes Luxembourg,"Penthouse 320 m² avec terrasse, Kirchberg, Luxembourg","€ 8,000/mois",Penthouse,"{'chambres/pièces': '5', 'superficie': '320\n m²', 'salles de bain': '3+', 'étage': '12'}"
45,"Appartement 4 chambres excellent état, deuxième étage, Ville Haute, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/486285/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Ville Haute, Luxembourg","€ 4,100/mois",Appartement,"{'chambres/pièces': '4', 'superficie': '150\n m²', 'salles de bain': '2', 'étage': '2'}"
46,"Appartement 2 chambres neuf, deuxième étage, Mamer, Mamer","€ 2,200/mois",Mamer,https://www.immotop.lu/annonces/486887/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Mamer, Mamer","€ 2,200/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '2'}"
47,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/488767/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 4,100/mois",Appartement,"{'chambres/pièces': '4', 'superficie': '150\n m²', 'salles de bain': '2', 'étage': '2'}"
48,"Appartement 2 chambres premier étage, Crauthem, Roeser","€ 1,750/mois",Roeser,https://www.immotop.lu/annonces/513279/,New Immo,"Appartement 2 chambres premier étage, Crauthem, Roeser","€ 1,750/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '82\n m²', 'salle de bain': '1', 'étage': '1'}"
49,"Maison individuelle 303 m², neuve, Belair, Luxembourg","€ 5,600/mois",Luxembourg,https://www.immotop.lu/annonces/497747/,New Immo,"Maison individuelle 303 m², neuve, Belair, Luxembourg","€ 5,600/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '303\n m²', 'salles de bain': '3'}"
50,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal","€ 1,450/mois",Kopstal,https://www.immotop.lu/annonces/445121/,New Immo,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal","€ 1,450/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '75\n m²', 'salle de bain': '1', 'étage': '2'}"
51,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/371131/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 2,950/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '81\n m²', 'étage': '1'}"
52,"Penthouse neuf, 133 m², Kirchberg, Luxembourg","€ 4,250/mois",Luxembourg,https://www.immotop.lu/annonces/371141/,New Immo,"Penthouse neuf, 133 m², Kirchberg, Luxembourg","€ 4,250/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '133\n m²', 'étage': '3'}"
53,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,200/mois",Luxembourg,https://www.immotop.lu/annonces/371115/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,200/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '94\n m²', 'étage': 'T'}"
54,"Appartement 1 chambre deuxième étage, Roeser, Roeser","€ 1,650/mois",Roeser,https://www.immotop.lu/annonces/444379/,New Immo,"Appartement 1 chambre deuxième étage, Roeser, Roeser","€ 1,650/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '70\n m²', 'salle de bain': '1', 'étage': '2'}"
55,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,https://www.immotop.lu/annonces/371121/,New Immo,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,400/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '99\n m²', 'étage': '2'}"
56,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371137/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '86\n m²', 'étage': '1'}"
57,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,https://www.immotop.lu/annonces/371123/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,000/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '81\n m²', 'étage': '2'}"
58,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/488651/,New Immo,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 2,150/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '71\n m²', 'étage': '1'}"
59,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,https://www.immotop.lu/annonces/371125/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,000/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '81\n m²', 'étage': 'T'}"
60,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371129/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '91\n m²', 'étage': '1'}"
61,"Penthouse neuf, 121 m², Kirchberg, Luxembourg","€ 3,950/mois",Luxembourg,https://www.immotop.lu/annonces/371113/,New Immo,"Penthouse neuf, 121 m², Kirchberg, Luxembourg","€ 3,950/mois",Penthouse,"{'chambres/pièces': '3', 'superficie': '121\n m²', 'étage': '3'}"
62,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven","€ 3,800/mois",Niederanven,https://www.immotop.lu/annonces/203367/,New Immo,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven","€ 3,800/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '166\n m²', 'salles de bain': '3', 'étage': '1'}"
63,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/404157/,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '89\n m²', 'salle de bain': '1', 'étage': '1'}"
64,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/404153/,New Immo,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '92\n m²', 'salle de bain': '1', 'étage': '1'}"
65,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,https://www.immotop.lu/annonces/371139/,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,400/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '94\n m²', 'étage': 'T'}"
66,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 1,600/mois",Luxembourg,https://www.immotop.lu/annonces/509233/,New Immo,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 1,600/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '39\n m²', 'salle de bain': '1', 'étage': '1'}"
67,"Appartement 2 chambres deuxième étage, Ville Haute, Luxembourg","€ 3,200/mois",Luxembourg,https://www.immotop.lu/annonces/511357/,New Immo,"Appartement 2 chambres deuxième étage, Ville Haute, Luxembourg","€ 3,200/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '110\n m²', 'étage': '2'}"
68,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/511325/,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,000/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '65\n m²', 'étage': '1'}"
69,"Maison individuelle 130 m², Walferdange, Walferdange","€ 2,600/mois",Walferdange,https://www.immotop.lu/annonces/504035/,New Immo,"Maison individuelle 130 m², Walferdange, Walferdange","€ 2,600/mois",Maison individuelle,{'superficie': '130\n m²'}
70,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,200/mois",Differdange,https://www.immotop.lu/annonces/155655/,Venice Consulting SA,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,200/mois",Maison jumelée / mitoyenne,"{'chambres/pièces': '3', 'superficie': '120\n m²', 'salles de bain': '2'}"
71,"Maison individuelle 200 m², Hesperange, Howald, Hesperange","€ 3,300/mois",Hesperange,https://www.immotop.lu/annonces/181077/,Immobelle,"Maison individuelle 200 m², Hesperange, Howald, Hesperange","€ 3,300/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '200\n m²', 'salle de bain': '1'}"
72,"Penthouse 235 m² avec terrasse, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/364277/,Castel Immobilier,"Penthouse 235 m² avec terrasse, Ville Haute, Luxembourg","€ 4,500/mois",Penthouse,"{'chambres/pièces': '4', 'superficie': '235\n m²', 'salle de bain': '1', 'étage': '3'}"
73,"Appartement 3 chambres quatrième étage, Strassen, Strassen","€ 2,500/mois",Strassen,https://www.immotop.lu/annonces/474909/,Castel Immobilier,"Appartement 3 chambres quatrième étage, Strassen, Strassen","€ 2,500/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '113\n m²', 'étage': '4'}"
74,"Appartement 1 chambre um Boeschel, Ettelbrück, Ettelbruck","€ 1,250/mois",Ettelbruck,https://www.immotop.lu/annonces/513187/,Home Project,"Appartement 1 chambre um Boeschel, Ettelbrück, Ettelbruck","€ 1,250/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '67\n m²', 'étage': '2'}"
75,"Appartement 2 chambres premier étage, Pétange, Pétange","€ 1,450/mois",Pétange,https://www.immotop.lu/annonces/506965/,ImmoLorena,"Appartement 2 chambres premier étage, Pétange, Pétange","€ 1,450/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '71\n m²', 'salle de bain': '1', 'étage': '1'}"
76,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg","€ 1,700/mois",Luxembourg,https://www.immotop.lu/annonces/60071/,L'Agence,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg","€ 1,700/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '58\n m²', 'salles de bain': '2', 'étage': 'T'}"
77,"Duplex à louer, Limpertsberg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/349419/,L'Agence,"Duplex à louer, Limpertsberg","€ 2,800/mois",Duplex,"{'chambres/pièces': '2', 'superficie': '105\n m²', 'salles de bain': '2'}"
78,"Appartement 1 chambre route de Mondorf, Wellenstein, Schengen","€ 1,390/mois",Schengen,https://www.immotop.lu/annonces/464265/,Primo Gérances S.à r.l.,"Appartement 1 chambre route de Mondorf, Wellenstein, Schengen","€ 1,390/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '63\n m²', 'salle de bain': '1', 'étage': 'T'}"
79,"Studio à louer, Roeser","€ 1,395/mois",Roeser,https://www.immotop.lu/annonces/469293/,Immeck Ventes Sàrl,"Studio à louer, Roeser","€ 1,395/mois",Studio,"{'chambres/pièces': '2', 'superficie': '50\n m²', 'salle de bain': '1'}"
80,"Appartement 2 chambres neuf, premier étage, Mertzig, Mertzig","€ 1,550/mois",Mertzig,https://www.immotop.lu/annonces/354751/,B IMMOBILIER,"Appartement 2 chambres neuf, premier étage, Mertzig, Mertzig","€ 1,550/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '76\n m²', 'salle de bain': '1', 'étage': '1'}"
81,"Penthouse Rue de Cessange, Cessange, Luxembourg","€ 2,750/mois",Luxembourg,https://www.immotop.lu/annonces/501631/,STUGALUX S.A,"Penthouse Rue de Cessange, Cessange, Luxembourg","€ 2,750/mois",Penthouse,"{'chambres/pièces': '2', 'superficie': '78\n m²', 'salle de bain': '1', 'étage': '3'}"
