,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
15,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,https://www.immotop.lu/annonces/325739/,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange",1980.0,Fermette,4.0,180.0,1.0,
16,"Maison individuelle 23, Rue De Wecker, Grevenmacher, Grevenmacher","€ 2,500/mois",Grevenmacher,https://www.immotop.lu/annonces/486013/,iHome S.à r.l.,"Maison individuelle 23, Rue De Wecker, Grevenmacher, Grevenmacher",2500.0,Maison individuelle,3.0,136.0,2.0,
17,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute",1750.0,Duplex,,,,
18,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange","€ 2,000/mois",Hesperange,https://www.immotop.lu/annonces/486817/,Move In Immobilier Sarl,"Appartement 2 chambres premier étage, Hesperange, Howald, Hesperange",2000.0,Appartement,2.0,89.0,,1
19,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess","€ 2,500/mois",Reckange-sur-Mess,https://www.immotop.lu/annonces/499227/,N real estate,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess",2500.0,Maison individuelle,4.0,180.0,3.0,
20,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/83517/,Properties of Luxembourg,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg",2300.0,Appartement,2.0,92.0,1.0,2
21,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck",2900.0,Maison individuelle,4.0,200.0,,
22,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 2,790/mois",Luxembourg,https://www.immotop.lu/annonces/494439/,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg",2790.0,Appartement,2.0,90.0,2.0,1
23,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette","€ 1,500/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/457943/,Gutplus SARL,"Appartement 2 chambres 179, route de Luxembourg, Al-Esch, Esch-sur-Alzette",1500.0,Appartement,2.0,76.0,1.0,2
24,"Studio à louer, Belval","€ 1,050/mois",Esch-sur-Alzette,https://www.immotop.lu/annonces/489773/,Gutplus SARL,"Studio à louer, Belval",1050.0,Studio,,44.0,1.0,
25,"Maison individuelle Rue du Plébiscite, Strassen, Strassen","€ 2,800/mois",Strassen,https://www.immotop.lu/annonces/471871/,Immobilière Glesener s.à r.l.,"Maison individuelle Rue du Plébiscite, Strassen, Strassen",2800.0,Maison individuelle,3.0,140.0,2.0,
26,"Appartement 2 chambres troisième étage, Pétange, Pétange","€ 1,800/mois",Pétange,https://www.immotop.lu/annonces/489057/,IMMO B2,"Appartement 2 chambres troisième étage, Pétange, Pétange",1800.0,Appartement,2.0,99.0,1.0,3
27,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/370887/,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg",2150.0,Appartement,2.0,93.0,1.0,1
28,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/463501/,Bureau Immobilier Léa Kappweiler s.àr.l.,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg",2300.0,Appartement,2.0,90.0,1.0,3
29,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois",Stadtbredimus,https://www.immotop.lu/annonces/421871/,Patrimonew Immobilière Sàrl,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus",2200.0,Appartement,3.0,130.0,1.0,1
30,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/438539/,ISABELLA COLTAN REAL ESTATE,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg",4500.0,Penthouse,3.0,150.0,3.0,6
31,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois",Luxembourg,https://www.immotop.lu/annonces/165319/,IMMO FRANK,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg",5400.0,Penthouse,3.0,229.0,1.0,9
32,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois",Echternach,https://www.immotop.lu/annonces/37409/,Senior Hotel Echternach,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach",2390.0,Appartement,1.0,43.0,1.0,T
33,"Studio à louer, Kirchberg","€ 1,300/mois",Luxembourg,https://www.immotop.lu/annonces/496803/,ACE IMMO,"Studio à louer, Kirchberg",1300.0,Studio,,49.0,,
34,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/514259/,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg",4500.0,Maison individuelle,4.0,205.0,2.0,
35,"Appartement 2 chambres 72, Boulevard Prince Felix, Weimerskirch, Luxembourg","€ 2,650/mois",Luxembourg,https://www.immotop.lu/annonces/515719/,Park Agence,"Appartement 2 chambres 72, Boulevard Prince Felix, Weimerskirch, Luxembourg",2650.0,Appartement,2.0,110.0,2.0,1
36,"Appartement 2 chambres troisième étage, Belair, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/515715/,RE/MAX IMMO EVOLUTION,"Appartement 2 chambres troisième étage, Belair, Luxembourg",3100.0,Appartement,2.0,103.0,1.0,3
37,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/497785/,MKM Consult,"Appartement 2 chambres deuxième étage, Bonnevoie-Verlorenkost, Luxembourg",2000.0,Appartement,2.0,82.0,1.0,2
38,"Duplex à louer, Cents","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/497711/,Immostep sarl,"Duplex à louer, Cents",2300.0,Duplex,3.0,140.0,1.0,
39,"Penthouse 87 m² avec terrasse, Hollerich, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/497715/,Immostep sarl,"Penthouse 87 m² avec terrasse, Hollerich, Luxembourg",2600.0,Penthouse,3.0,87.0,,7
40,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/515265/,Immostep sarl,"Appartement 2 chambres rez-de-chaussée, Kirchberg, Luxembourg",2300.0,Appartement,2.0,89.0,1.0,T
41,"Appartement 1 chambre deuxième étage, Limpertsberg, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/515259/,Immostep sarl,"Appartement 1 chambre deuxième étage, Limpertsberg, Luxembourg",2000.0,Appartement,1.0,67.0,,2
42,"Studio à louer, Kirchberg","€ 2,700/mois",Luxembourg,https://www.immotop.lu/annonces/515263/,Immostep sarl,"Studio à louer, Kirchberg",2700.0,Studio,,40.0,,
43,"Appartement 1 chambre premier étage, Al-Esch, Esch-sur-Alzette",€ 950/mois,Esch-sur-Alzette,https://www.immotop.lu/annonces/504553/,Immo Losch S.àr.l,"Appartement 1 chambre premier étage, Al-Esch, Esch-sur-Alzette",950.0,Appartement,1.0,42.0,,1
44,"Penthouse 320 m² avec terrasse, Kirchberg, Luxembourg","€ 8,000/mois",Luxembourg,https://www.immotop.lu/annonces/504109/,Barnes Luxembourg,"Penthouse 320 m² avec terrasse, Kirchberg, Luxembourg",8000.0,Penthouse,5.0,320.0,3.0,12
45,"Appartement 4 chambres excellent état, deuxième étage, Ville Haute, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/486285/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Ville Haute, Luxembourg",4100.0,Appartement,4.0,150.0,2.0,2
46,"Appartement 2 chambres neuf, deuxième étage, Mamer, Mamer","€ 2,200/mois",Mamer,https://www.immotop.lu/annonces/486887/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Mamer, Mamer",2200.0,Appartement,2.0,90.0,1.0,2
47,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/488767/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg",4100.0,Appartement,4.0,150.0,2.0,2
48,"Appartement 2 chambres premier étage, Crauthem, Roeser","€ 1,750/mois",Roeser,https://www.immotop.lu/annonces/513279/,New Immo,"Appartement 2 chambres premier étage, Crauthem, Roeser",1750.0,Appartement,2.0,82.0,1.0,1
49,"Maison individuelle 303 m², neuve, Belair, Luxembourg","€ 5,600/mois",Luxembourg,https://www.immotop.lu/annonces/497747/,New Immo,"Maison individuelle 303 m², neuve, Belair, Luxembourg",5600.0,Maison individuelle,4.0,303.0,3.0,
50,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal","€ 1,450/mois",Kopstal,https://www.immotop.lu/annonces/445121/,New Immo,"Appartement 1 chambre excellent état, deuxième étage, Bridel, Kopstal",1450.0,Appartement,1.0,75.0,1.0,2
51,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/371131/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",2950.0,Appartement,2.0,81.0,,1
52,"Penthouse neuf, 133 m², Kirchberg, Luxembourg","€ 4,250/mois",Luxembourg,https://www.immotop.lu/annonces/371141/,New Immo,"Penthouse neuf, 133 m², Kirchberg, Luxembourg",4250.0,Penthouse,3.0,133.0,,3
53,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,200/mois",Luxembourg,https://www.immotop.lu/annonces/371115/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3200.0,Appartement,2.0,94.0,,T
54,"Appartement 1 chambre deuxième étage, Roeser, Roeser","€ 1,650/mois",Roeser,https://www.immotop.lu/annonces/444379/,New Immo,"Appartement 1 chambre deuxième étage, Roeser, Roeser",1650.0,Appartement,1.0,70.0,1.0,2
55,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,https://www.immotop.lu/annonces/371121/,New Immo,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3400.0,Appartement,3.0,99.0,,2
56,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371137/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",3100.0,Appartement,2.0,86.0,,1
57,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,https://www.immotop.lu/annonces/371123/,New Immo,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3000.0,Appartement,2.0,81.0,,2
58,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/488651/,New Immo,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg",2150.0,Appartement,1.0,71.0,,1
59,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,https://www.immotop.lu/annonces/371125/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3000.0,Appartement,2.0,81.0,,T
60,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,https://www.immotop.lu/annonces/371129/,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",3100.0,Appartement,2.0,91.0,,1
61,"Penthouse neuf, 121 m², Kirchberg, Luxembourg","€ 3,950/mois",Luxembourg,https://www.immotop.lu/annonces/371113/,New Immo,"Penthouse neuf, 121 m², Kirchberg, Luxembourg",3950.0,Penthouse,3.0,121.0,,3
62,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven","€ 3,800/mois",Niederanven,https://www.immotop.lu/annonces/203367/,New Immo,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven",3800.0,Appartement,3.0,166.0,3.0,1
63,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/404157/,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg",2950.0,Appartement,1.0,89.0,1.0,1
64,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,https://www.immotop.lu/annonces/404153/,New Immo,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg",2950.0,Appartement,2.0,92.0,1.0,1
65,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,https://www.immotop.lu/annonces/371139/,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3400.0,Appartement,3.0,94.0,,T
66,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg","€ 1,600/mois",Luxembourg,https://www.immotop.lu/annonces/509233/,New Immo,"Appartement 1 chambre excellent état, premier étage, Ville Haute, Luxembourg",1600.0,Appartement,1.0,39.0,1.0,1
67,"Appartement 2 chambres deuxième étage, Ville Haute, Luxembourg","€ 3,200/mois",Luxembourg,https://www.immotop.lu/annonces/511357/,New Immo,"Appartement 2 chambres deuxième étage, Ville Haute, Luxembourg",3200.0,Appartement,2.0,110.0,,2
68,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,000/mois",Luxembourg,https://www.immotop.lu/annonces/511325/,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg",2000.0,Appartement,1.0,65.0,,1
69,"Maison individuelle 130 m², Walferdange, Walferdange","€ 2,600/mois",Walferdange,https://www.immotop.lu/annonces/504035/,New Immo,"Maison individuelle 130 m², Walferdange, Walferdange",2600.0,Maison individuelle,,130.0,,
70,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,200/mois",Differdange,https://www.immotop.lu/annonces/155655/,Venice Consulting SA,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange",2200.0,Maison jumelée / mitoyenne,3.0,120.0,2.0,
71,"Maison individuelle 200 m², Hesperange, Howald, Hesperange","€ 3,300/mois",Hesperange,https://www.immotop.lu/annonces/181077/,Immobelle,"Maison individuelle 200 m², Hesperange, Howald, Hesperange",3300.0,Maison individuelle,4.0,200.0,1.0,
72,"Penthouse 235 m² avec terrasse, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/364277/,Castel Immobilier,"Penthouse 235 m² avec terrasse, Ville Haute, Luxembourg",4500.0,Penthouse,4.0,235.0,1.0,3
73,"Appartement 3 chambres quatrième étage, Strassen, Strassen","€ 2,500/mois",Strassen,https://www.immotop.lu/annonces/474909/,Castel Immobilier,"Appartement 3 chambres quatrième étage, Strassen, Strassen",2500.0,Appartement,3.0,113.0,,4
74,"Appartement 1 chambre um Boeschel, Ettelbrück, Ettelbruck","€ 1,250/mois",Ettelbruck,https://www.immotop.lu/annonces/513187/,Home Project,"Appartement 1 chambre um Boeschel, Ettelbrück, Ettelbruck",1250.0,Appartement,1.0,67.0,,2
75,"Appartement 2 chambres premier étage, Pétange, Pétange","€ 1,450/mois",Pétange,https://www.immotop.lu/annonces/506965/,ImmoLorena,"Appartement 2 chambres premier étage, Pétange, Pétange",1450.0,Appartement,2.0,71.0,1.0,1
76,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg","€ 1,700/mois",Luxembourg,https://www.immotop.lu/annonces/60071/,L'Agence,"Appartement 1 chambre 279, rue de neudorf, Neudorf-Weimershof, Luxembourg",1700.0,Appartement,1.0,58.0,2.0,T
77,"Duplex à louer, Limpertsberg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/349419/,L'Agence,"Duplex à louer, Limpertsberg",2800.0,Duplex,2.0,105.0,2.0,
78,"Appartement 1 chambre route de Mondorf, Wellenstein, Schengen","€ 1,390/mois",Schengen,https://www.immotop.lu/annonces/464265/,Primo Gérances S.à r.l.,"Appartement 1 chambre route de Mondorf, Wellenstein, Schengen",1390.0,Appartement,1.0,63.0,1.0,T
79,"Studio à louer, Roeser","€ 1,395/mois",Roeser,https://www.immotop.lu/annonces/469293/,Immeck Ventes Sàrl,"Studio à louer, Roeser",1395.0,Studio,2.0,50.0,1.0,
80,"Appartement 2 chambres neuf, premier étage, Mertzig, Mertzig","€ 1,550/mois",Mertzig,https://www.immotop.lu/annonces/354751/,B IMMOBILIER,"Appartement 2 chambres neuf, premier étage, Mertzig, Mertzig",1550.0,Appartement,2.0,76.0,1.0,1
81,"Penthouse Rue de Cessange, Cessange, Luxembourg","€ 2,750/mois",Luxembourg,https://www.immotop.lu/annonces/501631/,STUGALUX S.A,"Penthouse Rue de Cessange, Cessange, Luxembourg",2750.0,Penthouse,2.0,78.0,1.0,3
82,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,https://www.immotop.lu/annonces/458097/,LA immo Sàrl,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg",2150.0,Appartement,2.0,95.0,1.0,T
83,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/295233/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg",2600.0,Appartement,1.0,40.0,1.0,2
84,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/477373/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg",2600.0,Appartement,1.0,40.0,1.0,2
85,"Appartement 2 chambres neuf, rez-de-chaussée, Hellange, Frisange","€ 2,100/mois",Frisange,https://www.immotop.lu/annonces/472099/,FMI IMMOBILIER,"Appartement 2 chambres neuf, rez-de-chaussée, Hellange, Frisange",2100.0,Appartement,2.0,70.0,,T
86,"Appartement 1 chambre excellent état, quatrième étage, Limpertsberg, Luxembourg","€ 2,400/mois",Luxembourg,https://www.immotop.lu/annonces/477359/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, quatrième étage, Limpertsberg, Luxembourg",2400.0,Appartement,1.0,40.0,,4
87,"Studio à louer, Ville Haute","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/471955/,FMI IMMOBILIER,"Studio à louer, Ville Haute",1550.0,Studio,1.0,,,
88,"Appartement 1 chambre rez-de-chaussée, Hesperange, Howald, Hesperange","€ 1,950/mois",Hesperange,https://www.immotop.lu/annonces/472985/,FMI IMMOBILIER,"Appartement 1 chambre rez-de-chaussée, Hesperange, Howald, Hesperange",1950.0,Appartement,1.0,70.0,,T
89,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 2,700/mois",Luxembourg,https://www.immotop.lu/annonces/52719/,FMI IMMOBILIER,"Appartement 1 chambre excellent état, deuxième étage, Limpertsberg, Luxembourg",2700.0,Appartement,1.0,40.0,1.0,2
90,"Appartement excellent état, rez-de-chaussée, Limpertsberg, Luxembourg","€ 2,600/mois",Luxembourg,https://www.immotop.lu/annonces/477367/,FMI IMMOBILIER,"Appartement excellent état, rez-de-chaussée, Limpertsberg, Luxembourg",2600.0,Appartement,,40.0,,T
91,"Studio à louer, Gare","€ 1,350/mois",Luxembourg,https://www.immotop.lu/annonces/471967/,FMI IMMOBILIER,"Studio à louer, Gare",1350.0,Studio,,33.0,,
92,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen","€ 2,900/mois",Strassen,https://www.immotop.lu/annonces/484467/,Multi Business Consultant,"Maison jumelée / mitoyenne 18 rue Plébiscite, Strassen, Strassen",2900.0,Maison jumelée / mitoyenne,3.0,135.0,2.0,
93,"Appartement 1 chambre 9A rue de Chiny, Gare, Luxembourg","€ 1,850/mois",Luxembourg,https://www.immotop.lu/annonces/454279/,Multi Business Consultant,"Appartement 1 chambre 9A rue de Chiny, Gare, Luxembourg",1850.0,Appartement,1.0,50.0,1.0,3
94,"Duplex à louer, Ville Haute","€ 1,995/mois",Luxembourg,https://www.immotop.lu/annonces/413547/,BELL-IMMO sa,"Duplex à louer, Ville Haute",1995.0,Duplex,1.0,55.0,1.0,
95,"Maison jumelée / mitoyenne 135 m², Neudorf-Weimershof, Luxembourg","€ 3,450/mois",Luxembourg,https://www.immotop.lu/annonces/404369/,EVA IMMO S.A,"Maison jumelée / mitoyenne 135 m², Neudorf-Weimershof, Luxembourg",3450.0,Maison jumelée / mitoyenne,3.0,135.0,2.0,
96,"Maison individuelle 200 m², excellent état, Bridel, Kopstal","€ 3,850/mois",Kopstal,https://www.immotop.lu/annonces/436439/,EVA IMMO S.A,"Maison individuelle 200 m², excellent état, Bridel, Kopstal",3850.0,Maison individuelle,4.0,200.0,2.0,
97,"Appartement 2 chambres 6 rue d'Ethe, Gasperich, Luxembourg","€ 2,550/mois",Luxembourg,https://www.immotop.lu/annonces/486727/,SG IMMOBILIER - STEPHANIE GILMER,"Appartement 2 chambres 6 rue d'Ethe, Gasperich, Luxembourg",2550.0,Appartement,2.0,88.0,1.0,2
98,"Appartement 2 chambres excellent état, troisième étage, Belair, Luxembourg","€ 2,500/mois",Luxembourg,https://www.immotop.lu/annonces/364249/,D&D Immobilier,"Appartement 2 chambres excellent état, troisième étage, Belair, Luxembourg",2500.0,Appartement,2.0,78.0,,3
99,"Appartement 2 chambres premier étage, Limpertsberg, Luxembourg","€ 2,400/mois",Luxembourg,https://www.immotop.lu/annonces/472117/,Von Poll Real Estate,"Appartement 2 chambres premier étage, Limpertsberg, Luxembourg",2400.0,Appartement,2.0,100.0,1.0,1
100,"Appartement premier étage, Bivange, Kockelscheuer, Roeser","€ 1,700/mois",Roeser,https://www.immotop.lu/annonces/456759/,FIORE IMMO,"Appartement premier étage, Bivange, Kockelscheuer, Roeser",1700.0,Appartement,,77.0,,1
101,"Maison individuelle, excellent état, Bertrange, Bertrange","€ 3,500/mois",Bertrange,https://www.immotop.lu/annonces/444929/,COLLINI WELTER Immobilière S.à.r.l.,"Maison individuelle, excellent état, Bertrange, Bertrange",3500.0,Maison individuelle,5.0,,1.0,
102,"Penthouse rue de Mühlenbach, Muhlenbach, Luxembourg","€ 3,600/mois",Luxembourg,https://www.immotop.lu/annonces/498399/,INOWAI Residential S.A.,"Penthouse rue de Mühlenbach, Muhlenbach, Luxembourg",3600.0,Penthouse,2.0,140.0,2.0,4
