,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
0,"Appartement 1 chambre Maison 39, Reuler, Clervaux","€ 1,000/mois",Clervaux,https://www.immotop.lu/annonces/511355/,Mevi SA,"Appartement 1 chambre Maison 39, Reuler, Clervaux",1000.0,Appartement,1.0,64.0,,1
1,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Dippach,https://www.immotop.lu/annonces/257617/,Agence Immobilière MARAMAX s.à r.l.,"Maison individuelle 198 m², Schouweiler, Dippach",3300.0,Maison individuelle,5.0,198.0,2.0,
2,"Appartement 2 chambres deuxième étage, Bascharage, Käerjeng","€ 1,650/mois",Käerjeng,https://www.immotop.lu/annonces/490553/,Agence Immobilière MARAMAX s.à r.l.,"Appartement 2 chambres deuxième étage, Bascharage, Käerjeng",1650.0,Appartement,2.0,87.0,1.0,2
3,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois",Luxembourg,https://www.immotop.lu/annonces/50677/,Immozac SARLS,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg",1450.0,Appartement,1.0,40.0,1.0,2
4,"Appartement 1 chambre Batty Weber 4, Differdange, Lasauvage, Differdange","€ 1,300/mois",Differdange,https://www.immotop.lu/annonces/464211/,Parc Immo Gestion,"Appartement 1 chambre Batty Weber 4, Differdange, Lasauvage, Differdange",1300.0,Appartement,1.0,54.0,,3
5,"Appartement 1 chambre premier étage, Soleuvre, Sanem","€ 1,480/mois",Sanem,https://www.immotop.lu/annonces/496429/,Parc Immo Gestion,"Appartement 1 chambre premier étage, Soleuvre, Sanem",1480.0,Appartement,1.0,55.0,1.0,1
6,"Appartement 1 chambre premier étage, Differdange, Lasauvage, Differdange","€ 1,250/mois",Differdange,https://www.immotop.lu/annonces/160219/,Parc Immo Gestion,"Appartement 1 chambre premier étage, Differdange, Lasauvage, Differdange",1250.0,Appartement,1.0,,,1
7,"Appartement 3 chambres premier étage, Berdorf, Berdorf","€ 1,800/mois",Berdorf,https://www.immotop.lu/annonces/500647/,M2 S.A. by Serge Veyder,"Appartement 3 chambres premier étage, Berdorf, Berdorf",1800.0,Appartement,3.0,108.0,1.0,1
8,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/166243/,Prestige Immobilier sàrl,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg",2800.0,Appartement,1.0,90.0,,3
9,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Mertert,https://www.immotop.lu/annonces/469719/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert",2200.0,Appartement,3.0,118.0,1.0,3
10,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,750/mois",Junglinster,https://www.immotop.lu/annonces/434607/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Maison individuelle 170 m², Godbrange, Junglinster",2750.0,Maison individuelle,4.0,170.0,,
11,"Maison individuelle 183 m², Ville Haute, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/395091/,Abby Toussaint,"Maison individuelle 183 m², Ville Haute, Luxembourg",2800.0,Maison individuelle,4.0,183.0,1.0,
12,"Maison individuelle 104 route d'Arlon, Mamer, Mamer","€ 2,900/mois",Mamer,https://www.immotop.lu/annonces/511893/,Multi Business Consultant,"Maison individuelle 104 route d'Arlon, Mamer, Mamer",2900.0,Maison individuelle,4.0,150.0,,
13,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois",Luxembourg,https://www.immotop.lu/annonces/446445/,HOUSE INVEST,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg",5700.0,Maison jumelée / mitoyenne,4.0,297.0,3.0,
14,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Luxembourg,https://www.immotop.lu/annonces/465209/,iHome S.à r.l.,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg",2250.0,Appartement,2.0,90.0,1.0,3
